,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,BrownNote_1.jpg,mismatch,1,QXSW,TREE
2,COMP_1W,BlueBoat_1.jpg,mismatch,3,QXSW,SHOE
3,COMP_1W,PinkLeaf_3.jpg,match,0,RJDNW,LEAF
4,COMP_1W,RedSquare_1.jpg,mismatch,1,ZBXLV,KEY
5,COMP_1W,RedHouse_2.jpg,match,0,QXSW,HOUSE
6,COMP_2W,BrownShoe_3.jpg,match,0,BROWN,SHOE
7,COMP_2W,RedFork_1.jpg,match,0,RED,FORK
8,COMP_2W,GreenCane_1.jpg,mismatch,1,GREEN,DISC
9,COMP_2W,BlackBag_1.jpg,mismatch,1,BLACK,CUP
10,COMP_2W,PinkNote_1.jpg,mismatch,1,PINK,FORK
11,LIST_1W,GreenHouse_3.jpg,match,0,MTPV,HOUSE
12,LIST_1W,BlueHand_2.jpg,mismatch,1,WVCNZ,SQUARE
13,LIST_1W,BrownLeaf_1.jpg,match,0,MTPV,LEAF
14,LIST_1W,BlueHeart_3.jpg,mismatch,1,QXSW,CAR
15,LIST_1W,BlueNote_1.jpg,match,0,MTPV,NOTE
16,LIST_2W,BlackHouse_1.jpg,match,0,LAMP,HOUSE
17,LIST_2W,BlackCar_2.jpg,mismatch,1,LAMP,BAG
18,LIST_2W,BrownLeaf_1.jpg,match,0,CROSS,LEAF
19,LIST_2W,RedCane_2.jpg,mismatch,3,HOUSE,STAR
20,LIST_2W,BlackLamp_1.jpg,match,0,LAMP,SQUARE
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,BrownStar_1.jpg,mismatch,2,GREEN,STAR
23,COMP_2W,GreenHand_2.jpg,mismatch,2,GREEN,HAND
24,COMP_2W,BrownBag_3.jpg,match,0,BROWN,BAG
25,COMP_2W,PinkHand_2.jpg,match,0,PINK,HAND
26,COMP_2W,GreenLamp_2.jpg,match,0,GREEN,LAMP
27,LIST_2W,GreenCup_1.jpg,match,0,CUP,CROSS
28,LIST_2W,GreenCup_2.jpg,mismatch,2,HOUSE,LOCK
29,LIST_2W,GreenHeart_1.jpg,mismatch,3,PLANE,FORK
30,LIST_2W,PinkLamp_2.jpg,match,0,LAMP,LEAF
31,LIST_2W,BlackFlag_1.jpg,match,0,BOAT,FLAG
32,COMP_1W,PinkFlag_3.jpg,mismatch,2,ZBXLV,NOTE
33,COMP_1W,RedCar_3.jpg,match,0,RJDNW,CAR
34,COMP_1W,GreenLock_3.jpg,mismatch,2,MTPV,CANE
35,COMP_1W,GreenHand_1.jpg,mismatch,2,QXSW,BONE
36,COMP_1W,BlackStar_1.jpg,match,0,RJDNW,STAR
37,LIST_1W,GreenFork_3.jpg,match,0,RJDNW,FORK
38,LIST_1W,RedBone_1.jpg,mismatch,3,ZBXLV,BELL
39,LIST_1W,BlackLamp_1.jpg,match,0,RJDNW,LAMP
40,LIST_1W,GreenBell_3.jpg,mismatch,2,XKQ,DISC
41,LIST_1W,BrownLeaf_1.jpg,mismatch,2,MTPV,CANE
42,FIX,NA,NA,NA,NA,NA
43,LIST_1W,PinkKey_2.jpg,mismatch,1,QXSW,LOCK
44,LIST_1W,GreenFlag_2.jpg,match,0,MTPV,FLAG
45,LIST_1W,BlueTree_3.jpg,match,0,ZBXLV,TREE
46,LIST_1W,PinkBone_2.jpg,mismatch,1,MTPV,FORK
47,LIST_1W,RedKey_2.jpg,mismatch,2,WVCNZ,NOTE
48,COMP_1W,BlackBell_2.jpg,match,0,ZBXLV,BELL
49,COMP_1W,PinkFork_3.jpg,match,0,ZBXLV,FORK
50,COMP_1W,BlueHand_1.jpg,match,0,MTPV,HAND
51,COMP_1W,BlackNote_3.jpg,mismatch,3,ZBXLV,HOUSE
52,COMP_1W,GreenHand_2.jpg,mismatch,2,QXSW,HEART
53,LIST_2W,BrownNote_2.jpg,mismatch,3,HOUSE,BAG
54,LIST_2W,GreenKey_3.jpg,match,0,LAMP,KEY
55,LIST_2W,GreenCar_3.jpg,mismatch,2,BOAT,BELL
56,LIST_2W,BlueSquare_2.jpg,match,0,CUP,SQUARE
57,LIST_2W,BlueBow_2.jpg,mismatch,1,PLANE,SHOE
58,COMP_2W,RedBoat_1.jpg,match,0,RED,BOAT
59,COMP_2W,GreenCar_2.jpg,match,0,GREEN,CAR
60,COMP_2W,BlueCross_3.jpg,match,0,BLUE,CROSS
61,COMP_2W,RedFlag_1.jpg,match,0,RED,FLAG
62,COMP_2W,PinkBoat_2.jpg,mismatch,3,BROWN,BOW
63,FIX,NA,NA,NA,NA,NA
64,LIST_2W,BlueHeart_2.jpg,match,0,HOUSE,HEART
65,LIST_2W,BrownSquare_1.jpg,mismatch,2,HOUSE,BOAT
66,LIST_2W,GreenCross_3.jpg,match,0,CROSS,BAG
67,LIST_2W,BlueBow_2.jpg,mismatch,3,PLANE,FLAG
68,LIST_2W,GreenKey_1.jpg,mismatch,1,CROSS,CUP
69,LIST_1W,BlackBag_2.jpg,match,0,RJDNW,BAG
70,LIST_1W,PinkLamp_3.jpg,mismatch,3,WVCNZ,BOW
71,LIST_1W,BrownCar_2.jpg,match,0,WVCNZ,CAR
72,LIST_1W,BlueCar_3.jpg,mismatch,3,QXSW,SHOE
73,LIST_1W,GreenCar_2.jpg,mismatch,1,WVCNZ,KEY
74,COMP_2W,BluePlane_1.jpg,match,0,BLUE,PLANE
75,COMP_2W,RedCross_1.jpg,match,0,RED,CROSS
76,COMP_2W,PinkLeaf_1.jpg,mismatch,3,BLACK,FLAG
77,COMP_2W,GreenBag_1.jpg,mismatch,1,GREEN,SHOE
78,COMP_2W,BlackHeart_2.jpg,match,0,BLACK,HEART
79,COMP_1W,GreenLeaf_3.jpg,match,0,MTPV,LEAF
80,COMP_1W,PinkFork_2.jpg,mismatch,3,RJDNW,BELL
81,COMP_1W,RedLamp_1.jpg,match,0,ZBXLV,LAMP
82,COMP_1W,BrownHeart_2.jpg,mismatch,2,ZBXLV,CROSS
83,COMP_1W,BlackBag_3.jpg,mismatch,3,XKQ,BOW
84,FIX,NA,NA,NA,NA,NA
