,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,LIST_2W,BlueCup_3.jpg,mismatch,3,BOAT,FORK
2,LIST_2W,RedSquare_3.jpg,match,0,CROSS,SQUARE
3,LIST_2W,BlackLamp_3.jpg,mismatch,1,HOUSE,HAND
4,LIST_2W,GreenLock_1.jpg,match,0,HOUSE,LOCK
5,LIST_2W,GreenShoe_2.jpg,mismatch,2,CROSS,BONE
6,COMP_1W,BlackFork_1.jpg,mismatch,1,ZBXLV,TREE
7,COMP_1W,RedBow_1.jpg,mismatch,3,WVCNZ,TREE
8,COMP_1W,GreenDisc_2.jpg,match,0,QXSW,DISC
9,COMP_1W,BlueCar_1.jpg,match,0,MTPV,CAR
10,COMP_1W,PinkPlane_2.jpg,mismatch,2,WVCNZ,LEAF
11,COMP_2W,BrownCup_3.jpg,match,0,BROWN,CUP
12,COMP_2W,RedShoe_3.jpg,mismatch,2,PINK,SHOE
13,COMP_2W,BlackLamp_3.jpg,match,0,BLACK,LAMP
14,COMP_2W,RedBone_2.jpg,mismatch,1,RED,BELL
15,COMP_2W,BlueLamp_2.jpg,mismatch,3,BROWN,DISC
16,LIST_1W,BlueNote_1.jpg,match,0,ZBXLV,NOTE
17,LIST_1W,GreenNote_2.jpg,match,0,WVCNZ,NOTE
18,LIST_1W,BlackCar_1.jpg,match,0,MTPV,CAR
19,LIST_1W,GreenLock_3.jpg,mismatch,3,ZBXLV,BELL
20,LIST_1W,GreenLeaf_2.jpg,match,0,MTPV,LEAF
21,FIX,NA,NA,NA,NA,NA
22,COMP_1W,BlueKey_3.jpg,mismatch,2,RJDNW,FLAG
23,COMP_1W,BlackBow_2.jpg,match,0,RJDNW,BOW
24,COMP_1W,RedPlane_3.jpg,mismatch,2,XKQ,KEY
25,COMP_1W,RedCar_3.jpg,mismatch,1,MTPV,SQUARE
26,COMP_1W,PinkBone_2.jpg,match,0,XKQ,BONE
27,LIST_1W,GreenBow_2.jpg,mismatch,2,ZBXLV,BAG
28,LIST_1W,RedDisc_2.jpg,match,0,MTPV,DISC
29,LIST_1W,PinkShoe_1.jpg,mismatch,3,RJDNW,LAMP
30,LIST_1W,GreenBag_1.jpg,match,0,WVCNZ,BAG
31,LIST_1W,BlackCup_2.jpg,mismatch,3,WVCNZ,BOAT
32,LIST_2W,PinkPlane_3.jpg,match,0,PLANE,LAMP
33,LIST_2W,PinkTree_2.jpg,mismatch,2,CROSS,BAG
34,LIST_2W,BlueLamp_1.jpg,match,0,LAMP,LEAF
35,LIST_2W,BluePlane_2.jpg,match,0,PLANE,CROSS
36,LIST_2W,RedDisc_2.jpg,match,0,BOAT,DISC
37,COMP_2W,BrownBag_3.jpg,match,0,BROWN,BAG
38,COMP_2W,RedSquare_3.jpg,mismatch,3,GREEN,STAR
39,COMP_2W,RedStar_1.jpg,mismatch,2,PINK,STAR
40,COMP_2W,PinkLock_2.jpg,mismatch,2,RED,LOCK
41,COMP_2W,GreenSquare_2.jpg,match,0,GREEN,SQUARE
42,FIX,NA,NA,NA,NA,NA
43,COMP_2W,RedCar_2.jpg,mismatch,2,BROWN,CAR
44,COMP_2W,GreenFlag_3.jpg,match,0,GREEN,FLAG
45,COMP_2W,BrownShoe_2.jpg,match,0,BROWN,SHOE
46,COMP_2W,PinkHouse_2.jpg,mismatch,1,PINK,SQUARE
47,COMP_2W,PinkNote_1.jpg,mismatch,2,PINK,NOTE
48,LIST_2W,BrownBoat_3.jpg,mismatch,2,CUP,KEY
49,LIST_2W,BlueCross_1.jpg,match,0,CROSS,LOCK
50,LIST_2W,PinkHouse_2.jpg,match,0,HOUSE,NOTE
51,LIST_2W,PinkHouse_1.jpg,mismatch,1,BOAT,LAMP
52,LIST_2W,BlackStar_3.jpg,mismatch,3,HOUSE,TREE
53,LIST_1W,PinkKey_1.jpg,match,0,MTPV,KEY
54,LIST_1W,BrownLeaf_1.jpg,mismatch,1,XKQ,PLANE
55,LIST_1W,BlackSquare_1.jpg,match,0,WVCNZ,SQUARE
56,LIST_1W,BlackLock_1.jpg,mismatch,1,WVCNZ,TREE
57,LIST_1W,BlackKey_2.jpg,match,0,ZBXLV,KEY
58,COMP_1W,GreenKey_2.jpg,mismatch,3,MTPV,FORK
59,COMP_1W,BlackFork_3.jpg,mismatch,1,WVCNZ,KEY
60,COMP_1W,PinkBell_3.jpg,match,0,WVCNZ,BELL
61,COMP_1W,GreenCane_2.jpg,match,0,ZBXLV,CANE
62,COMP_1W,RedLamp_2.jpg,match,0,RJDNW,LAMP
63,FIX,NA,NA,NA,NA,NA
64,LIST_1W,BrownHand_1.jpg,match,0,ZBXLV,HAND
65,LIST_1W,BlueLeaf_1.jpg,match,0,ZBXLV,LEAF
66,LIST_1W,BlackBell_2.jpg,mismatch,2,WVCNZ,BONE
