,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,GreenLock_3.jpg,mismatch,2,RJDNW,BELL
2,COMP_1W,RedShoe_3.jpg,match,0,ZBXLV,SHOE
3,COMP_1W,RedHand_2.jpg,match,0,RJDNW,HAND
4,COMP_1W,BrownBag_2.jpg,mismatch,1,QXSW,LEAF
5,COMP_1W,BlueNote_2.jpg,match,0,ZBXLV,NOTE
6,COMP_2W,BlueStar_3.jpg,mismatch,2,RED,STAR
7,COMP_2W,BlueBell_2.jpg,match,0,BLUE,BELL
8,COMP_2W,GreenPlane_2.jpg,mismatch,1,GREEN,SQUARE
9,COMP_2W,RedTree_3.jpg,match,0,RED,TREE
10,COMP_2W,PinkBone_3.jpg,mismatch,2,GREEN,BONE
11,LIST_1W,PinkFlag_1.jpg,mismatch,1,RJDNW,BOW
12,LIST_1W,PinkBell_1.jpg,mismatch,3,MTPV,STAR
13,LIST_1W,PinkCross_2.jpg,match,0,WVCNZ,CROSS
14,LIST_1W,BrownLock_2.jpg,match,0,WVCNZ,LOCK
15,LIST_1W,BlackHeart_1.jpg,match,0,ZBXLV,HEART
16,LIST_2W,RedCup_1.jpg,mismatch,2,BOAT,HEART
17,LIST_2W,PinkLock_1.jpg,mismatch,2,HOUSE,SHOE
18,LIST_2W,BlackLock_2.jpg,match,0,CROSS,LOCK
19,LIST_2W,BrownHeart_2.jpg,mismatch,3,LAMP,FLAG
20,LIST_2W,BlackCross_1.jpg,match,0,CROSS,NOTE
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,BlackFlag_2.jpg,mismatch,1,BLACK,PLANE
23,COMP_2W,BlackDisc_1.jpg,match,0,BLACK,DISC
24,COMP_2W,PinkStar_3.jpg,match,0,PINK,STAR
25,COMP_2W,RedDisc_1.jpg,match,0,RED,DISC
26,COMP_2W,RedBow_1.jpg,match,0,RED,BOW
27,LIST_2W,BrownHand_1.jpg,mismatch,3,CROSS,BOAT
28,LIST_2W,PinkHouse_3.jpg,mismatch,1,CUP,FLAG
29,LIST_2W,BlueFork_1.jpg,mismatch,2,HOUSE,KEY
30,LIST_2W,BlueCross_2.jpg,match,0,BOAT,CROSS
31,LIST_2W,BlueSquare_2.jpg,match,0,CUP,SQUARE
32,COMP_1W,BrownFork_3.jpg,match,0,MTPV,FORK
33,COMP_1W,RedCane_1.jpg,mismatch,3,MTPV,PLANE
34,COMP_1W,BlueLamp_3.jpg,match,0,ZBXLV,LAMP
35,COMP_1W,BlackKey_1.jpg,mismatch,1,MTPV,DISC
36,COMP_1W,BrownHand_3.jpg,mismatch,3,WVCNZ,CAR
37,LIST_1W,BrownLamp_3.jpg,mismatch,2,ZBXLV,BELL
38,LIST_1W,BlueFork_1.jpg,match,0,RJDNW,FORK
39,LIST_1W,GreenShoe_1.jpg,mismatch,1,ZBXLV,BOW
40,LIST_1W,BrownCup_3.jpg,match,0,QXSW,CUP
41,LIST_1W,RedCane_3.jpg,mismatch,2,WVCNZ,BONE
42,FIX,NA,NA,NA,NA,NA
43,LIST_1W,BlueHeart_1.jpg,mismatch,2,WVCNZ,LAMP
44,LIST_1W,BlackNote_1.jpg,match,0,ZBXLV,NOTE
45,LIST_1W,BrownLock_3.jpg,mismatch,3,MTPV,CAR
46,LIST_1W,BlueSquare_2.jpg,match,0,ZBXLV,SQUARE
47,LIST_1W,GreenCross_2.jpg,mismatch,1,RJDNW,DISC
48,COMP_1W,PinkBoat_1.jpg,match,0,ZBXLV,BOAT
49,COMP_1W,RedKey_1.jpg,match,0,QXSW,KEY
50,COMP_1W,GreenTree_1.jpg,match,0,RJDNW,TREE
51,COMP_1W,RedCane_1.jpg,match,0,WVCNZ,CANE
52,COMP_1W,BlueShoe_3.jpg,mismatch,2,WVCNZ,CUP
53,LIST_2W,PinkBone_1.jpg,mismatch,2,BOAT,NOTE
54,LIST_2W,RedLamp_2.jpg,match,0,CROSS,LAMP
55,LIST_2W,RedHand_1.jpg,mismatch,1,LAMP,LEAF
56,LIST_2W,BrownLeaf_2.jpg,mismatch,3,CROSS,HAND
57,LIST_2W,BlackHeart_2.jpg,match,0,LAMP,HEART
58,COMP_2W,RedCar_2.jpg,mismatch,1,RED,LEAF
59,COMP_2W,RedShoe_1.jpg,mismatch,2,GREEN,SHOE
60,COMP_2W,BlackLeaf_1.jpg,mismatch,3,BLUE,FLAG
61,COMP_2W,BlueCup_1.jpg,match,0,BLUE,CUP
62,COMP_2W,RedHouse_3.jpg,match,0,RED,HOUSE
63,FIX,NA,NA,NA,NA,NA
64,LIST_2W,BlueHouse_1.jpg,match,0,CROSS,HOUSE
65,LIST_2W,BlueBone_2.jpg,mismatch,2,BOAT,SQUARE
66,LIST_2W,BrownBoat_1.jpg,mismatch,3,LAMP,PLANE
67,LIST_2W,RedPlane_1.jpg,match,0,PLANE,FLAG
68,LIST_2W,BlueLeaf_3.jpg,mismatch,2,HOUSE,BAG
69,LIST_1W,PinkBell_2.jpg,mismatch,1,MTPV,FORK
70,LIST_1W,PinkBone_2.jpg,match,0,XKQ,BONE
71,LIST_1W,BrownBow_3.jpg,mismatch,3,RJDNW,TREE
72,LIST_1W,BrownSquare_1.jpg,match,0,XKQ,SQUARE
73,LIST_1W,BlackTree_1.jpg,match,0,ZBXLV,TREE
74,COMP_2W,BrownLock_1.jpg,match,0,BROWN,LOCK
75,COMP_2W,PinkLamp_2.jpg,mismatch,2,BLACK,LAMP
76,COMP_2W,BlueCar_2.jpg,mismatch,1,BLUE,LEAF
77,COMP_2W,RedShoe_2.jpg,match,0,RED,SHOE
78,COMP_2W,BrownBell_1.jpg,mismatch,3,BLUE,TREE
79,COMP_1W,RedHouse_1.jpg,match,0,XKQ,HOUSE
80,COMP_1W,PinkShoe_2.jpg,mismatch,3,MTPV,TREE
81,COMP_1W,BlueHouse_1.jpg,match,0,WVCNZ,HOUSE
82,COMP_1W,GreenHouse_1.jpg,mismatch,2,MTPV,LOCK
83,COMP_1W,GreenTree_3.jpg,mismatch,3,WVCNZ,FORK
84,FIX,NA,NA,NA,NA,NA
