,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,PinkCane_3.jpg,match,0,XKQ,CANE
2,COMP_1W,BlackCross_2.jpg,match,0,WVCNZ,CROSS
3,COMP_1W,BlackFlag_3.jpg,match,0,MTPV,FLAG
4,COMP_1W,BrownPlane_3.jpg,match,0,XKQ,PLANE
5,COMP_1W,PinkKey_2.jpg,mismatch,1,QXSW,STAR
6,COMP_2W,BlackCup_3.jpg,mismatch,3,RED,HEART
7,COMP_2W,BrownStar_2.jpg,match,0,BROWN,STAR
8,COMP_2W,PinkNote_2.jpg,mismatch,1,PINK,HOUSE
9,COMP_2W,RedHand_3.jpg,mismatch,3,PINK,CAR
10,COMP_2W,BlackShoe_2.jpg,match,0,BLACK,SHOE
11,LIST_1W,GreenStar_3.jpg,mismatch,2,ZBXLV,BONE
12,LIST_1W,BrownLeaf_1.jpg,mismatch,2,WVCNZ,BELL
13,LIST_1W,BlueHand_2.jpg,match,0,ZBXLV,HAND
14,LIST_1W,GreenBoat_1.jpg,mismatch,1,MTPV,BONE
15,LIST_1W,BlackShoe_3.jpg,match,0,RJDNW,SHOE
16,LIST_2W,BlackKey_2.jpg,mismatch,3,BOAT,TREE
17,LIST_2W,RedStar_2.jpg,match,0,CUP,STAR
18,LIST_2W,BrownCross_2.jpg,mismatch,2,BOAT,DISC
19,LIST_2W,RedLock_1.jpg,mismatch,3,LAMP,BOAT
20,LIST_2W,BrownCar_3.jpg,match,0,BOAT,CAR
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,BrownCup_2.jpg,mismatch,2,BLUE,CUP
23,COMP_2W,GreenHeart_2.jpg,match,0,GREEN,HEART
24,COMP_2W,BrownFork_3.jpg,mismatch,2,PINK,FORK
25,COMP_2W,BlackLeaf_1.jpg,match,0,BLACK,LEAF
26,COMP_2W,RedKey_1.jpg,mismatch,1,RED,HAND
27,LIST_2W,PinkCup_3.jpg,mismatch,3,PLANE,FLAG
28,LIST_2W,RedFork_2.jpg,mismatch,3,LAMP,SQUARE
29,LIST_2W,RedKey_2.jpg,match,0,PLANE,KEY
30,LIST_2W,RedBone_2.jpg,mismatch,3,LAMP,HEART
31,LIST_2W,PinkBag_1.jpg,match,0,LAMP,BAG
