,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,BlueCross_2.jpg,match,0,QXSW,CROSS
2,COMP_1W,GreenPlane_3.jpg,match,0,RJDNW,PLANE
3,COMP_1W,GreenHeart_2.jpg,mismatch,2,MTPV,BOW
4,COMP_1W,RedCane_2.jpg,match,0,ZBXLV,CANE
5,COMP_1W,BlackCane_1.jpg,mismatch,3,RJDNW,CAR
6,COMP_2W,BlueFlag_3.jpg,match,0,BLUE,FLAG
7,COMP_2W,PinkShoe_2.jpg,mismatch,3,PINK,PLANE
8,COMP_2W,RedBag_3.jpg,match,0,RED,BAG
9,COMP_2W,BlueHeart_3.jpg,mismatch,2,RED,HEART
10,COMP_2W,BlueKey_2.jpg,mismatch,1,BLUE,TREE
11,LIST_1W,RedHeart_2.jpg,mismatch,3,XKQ,FORK
12,LIST_1W,GreenSquare_2.jpg,match,0,QXSW,SQUARE
13,LIST_1W,BlackCross_2.jpg,match,0,QXSW,CROSS
14,LIST_1W,PinkKey_2.jpg,mismatch,1,RJDNW,BONE
15,LIST_1W,RedSquare_1.jpg,mismatch,2,QXSW,NOTE
16,LIST_2W,BlueHouse_2.jpg,mismatch,2,LAMP,BAG
17,LIST_2W,GreenCup_3.jpg,match,0,CROSS,CUP
18,LIST_2W,BlackShoe_2.jpg,mismatch,3,BOAT,PLANE
19,LIST_2W,BlackHand_2.jpg,mismatch,3,CUP,LOCK
20,LIST_2W,BlueFlag_2.jpg,match,0,HOUSE,FLAG
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,PinkSquare_1.jpg,mismatch,2,BLACK,SQUARE
23,COMP_2W,BlackShoe_3.jpg,mismatch,2,BLACK,SHOE
24,COMP_2W,BlackFlag_3.jpg,mismatch,3,BLACK,DISC
25,COMP_2W,BlackBow_2.jpg,match,0,BLACK,BOW
26,COMP_2W,BlueCross_3.jpg,match,0,BLUE,CROSS
27,LIST_2W,BlueDisc_3.jpg,mismatch,3,PLANE,CUP
28,LIST_2W,RedKey_1.jpg,match,0,BOAT,KEY
29,LIST_2W,PinkPlane_3.jpg,match,0,PLANE,SHOE
30,LIST_2W,PinkHeart_2.jpg,mismatch,3,PLANE,LAMP
31,LIST_2W,BrownPlane_3.jpg,mismatch,2,LAMP,LEAF
32,COMP_1W,BlackStar_1.jpg,match,0,ZBXLV,STAR
33,COMP_1W,BlackBell_1.jpg,match,0,XKQ,BELL
34,COMP_1W,GreenCar_2.jpg,match,0,QXSW,CAR
35,COMP_1W,RedFlag_1.jpg,mismatch,2,QXSW,LEAF
36,COMP_1W,GreenLamp_3.jpg,match,0,XKQ,LAMP
37,LIST_1W,BlackCup_3.jpg,match,0,ZBXLV,CUP
38,LIST_1W,BlueSquare_3.jpg,mismatch,3,WVCNZ,FLAG
39,LIST_1W,GreenCane_1.jpg,mismatch,2,XKQ,BONE
40,LIST_1W,RedKey_3.jpg,match,0,XKQ,KEY
41,LIST_1W,GreenPlane_1.jpg,mismatch,2,MTPV,LEAF
42,FIX,NA,NA,NA,NA,NA
43,LIST_1W,RedCross_3.jpg,mismatch,3,WVCNZ,CAR
44,LIST_1W,BlackCar_1.jpg,mismatch,1,RJDNW,FORK
45,LIST_1W,GreenBell_3.jpg,match,0,QXSW,BELL
46,LIST_1W,BlackFlag_1.jpg,match,0,MTPV,FLAG
47,LIST_1W,RedCross_1.jpg,mismatch,1,WVCNZ,LOCK
48,COMP_1W,GreenTree_3.jpg,match,0,ZBXLV,TREE
49,COMP_1W,BlueCup_2.jpg,mismatch,1,QXSW,KEY
50,COMP_1W,PinkCross_3.jpg,mismatch,2,RJDNW,SHOE
51,COMP_1W,BlackLeaf_2.jpg,match,0,MTPV,LEAF
52,COMP_1W,BlackShoe_1.jpg,match,0,WVCNZ,SHOE
53,LIST_2W,GreenKey_1.jpg,mismatch,2,PLANE,BOAT
54,LIST_2W,BlueBoat_1.jpg,mismatch,1,PLANE,LOCK
55,LIST_2W,BlackPlane_2.jpg,match,0,PLANE,TREE
56,LIST_2W,GreenHouse_2.jpg,match,0,HOUSE,BOW
57,LIST_2W,RedCane_2.jpg,mismatch,2,LAMP,NOTE
58,COMP_2W,BrownCross_2.jpg,mismatch,1,BROWN,FORK
59,COMP_2W,BlueBone_1.jpg,match,0,BLUE,BONE
60,COMP_2W,RedPlane_2.jpg,match,0,RED,PLANE
61,COMP_2W,RedCane_1.jpg,match,0,RED,CANE
62,COMP_2W,BlackShoe_3.jpg,mismatch,1,BLACK,FLAG
63,FIX,NA,NA,NA,NA,NA
64,LIST_2W,PinkHouse_1.jpg,mismatch,1,LAMP,TREE
65,LIST_2W,BlueCross_3.jpg,match,0,CROSS,DISC
66,LIST_2W,BlueHeart_2.jpg,match,0,HOUSE,HEART
67,LIST_2W,RedCross_3.jpg,mismatch,2,HOUSE,BOAT
68,LIST_2W,BlackBoat_2.jpg,match,0,BOAT,FLAG
69,LIST_1W,BlackDisc_2.jpg,match,0,WVCNZ,DISC
70,LIST_1W,BrownBow_3.jpg,match,0,RJDNW,BOW
71,LIST_1W,BlackBow_1.jpg,mismatch,3,WVCNZ,CANE
72,LIST_1W,RedBone_1.jpg,match,0,QXSW,BONE
73,LIST_1W,GreenBag_2.jpg,match,0,RJDNW,BAG
74,COMP_2W,GreenHouse_3.jpg,mismatch,1,GREEN,DISC
75,COMP_2W,BlueLeaf_3.jpg,match,0,BLUE,LEAF
76,COMP_2W,BlackTree_2.jpg,mismatch,1,BLACK,BELL
77,COMP_2W,RedFlag_3.jpg,mismatch,1,RED,LEAF
78,COMP_2W,BrownHeart_3.jpg,match,0,BROWN,HEART
79,COMP_1W,PinkKey_1.jpg,match,0,XKQ,KEY
80,COMP_1W,BlackShoe_2.jpg,match,0,MTPV,SHOE
81,COMP_1W,BrownNote_3.jpg,match,0,ZBXLV,NOTE
82,COMP_1W,BlueFlag_2.jpg,mismatch,3,WVCNZ,CANE
83,COMP_1W,GreenDisc_1.jpg,match,0,QXSW,DISC
84,FIX,NA,NA,NA,NA,NA
