,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
38,WVCNZ,BROWN,WVCNZ,HOUSE,SQUARE,mismatch,3,0,BluePlane_2.jpg,BrownLeaf_1.jpg,PinkBow_2.jpg,BrownFork_1.jpg
39,RJDNW,BLACK,ZBXLV,PLANE,SQUARE,mismatch,1,0,PinkHeart_1.jpg,BlackFork_2.jpg,BlackHeart_2.jpg,RedCar_1.jpg
40,WVCNZ,BROWN,RJDNW,PLANE,BELL,match,0,1,BrownBell_2.jpg,BrownBell_1.jpg,BrownBell_1.jpg,PinkPlane_2.jpg
41,ZBXLV,BLACK,ZBXLV,HOUSE,BELL,match,0,2,BrownBell_3.jpg,BlackBell_3.jpg,BlackBell_2.jpg,BlueBell_1.jpg
42,QXSW,BLUE,MTPV,BOAT,BELL,mismatch,2,0,RedTree_3.jpg,BrownBell_1.jpg,BrownKey_2.jpg,BlueCross_2.jpg
43,XKQ,RED,XKQ,CUP,BELL,mismatch,2,0,BrownHouse_2.jpg,GreenBell_2.jpg,GreenBoat_1.jpg,PinkFork_3.jpg
44,QXSW,PINK,QXSW,LAMP,BOAT,match,0,1,PinkBoat_1.jpg,PinkBoat_2.jpg,GreenBoat_2.jpg,BlueLamp_2.jpg
45,XKQ,RED,XKQ,CUP,BOAT,match,0,2,BrownBoat_3.jpg,RedBoat_2.jpg,PinkBoat_3.jpg,RedBoat_1.jpg
46,RJDNW,GREEN,ZBXLV,HOUSE,BOAT,mismatch,2,0,BlueFork_2.jpg,PinkBoat_1.jpg,GreenHand_1.jpg,BrownBow_2.jpg
47,ZBXLV,BROWN,WVCNZ,PLANE,BOAT,mismatch,2,0,GreenCross_3.jpg,GreenBoat_2.jpg,BlueHeart_3.jpg,BlackCup_1.jpg
48,XKQ,RED,XKQ,CUP,BOW,match,0,1,RedBow_1.jpg,RedBow_2.jpg,BrownBow_2.jpg,RedCup_1.jpg
49,QXSW,BLUE,QXSW,BOAT,BOW,match,0,2,BlackBow_3.jpg,BlueBow_2.jpg,BlackBow_1.jpg,BlueBow_1.jpg
50,RJDNW,GREEN,RJDNW,PLANE,BOW,mismatch,1,0,BlueKey_3.jpg,GreenHeart_1.jpg,BlackFork_1.jpg,BlackCross_3.jpg
51,WVCNZ,BLACK,WVCNZ,CROSS,BOW,mismatch,1,0,BlueBell_1.jpg,BlackBone_3.jpg,GreenLock_2.jpg,RedBell_2.jpg
52,RJDNW,GREEN,WVCNZ,CROSS,CAR,match,0,1,BrownCar_2.jpg,GreenCar_1.jpg,PinkCar_3.jpg,RedCross_1.jpg
53,ZBXLV,BROWN,ZBXLV,HOUSE,CAR,match,0,2,BrownCar_3.jpg,BrownCar_1.jpg,BlackCar_1.jpg,PinkCar_2.jpg
54,QXSW,BLUE,QXSW,LAMP,CAR,mismatch,1,0,RedBag_3.jpg,BlueBag_2.jpg,RedHand_1.jpg,BlueHeart_2.jpg
55,WVCNZ,BLACK,RJDNW,PLANE,CAR,mismatch,3,0,BlackBow_1.jpg,RedLamp_3.jpg,BlueLock_2.jpg,BlueCup_1.jpg
56,RJDNW,BROWN,RJDNW,HOUSE,CROSS,match,0,1,BlackCross_2.jpg,BrownCross_1.jpg,BlueCross_1.jpg,BrownHouse_2.jpg
57,QXSW,PINK,MTPV,BOAT,CROSS,match,0,2,BlueCross_3.jpg,PinkCross_1.jpg,PinkCross_2.jpg,PinkCross_2.jpg
