,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,ZBXLV,BLACK,ZBXLV,CROSS,DISC,match,0,1,BrownDisc_3.jpg,BlackDisc_2.jpg,RedDisc_1.jpg,RedCross_1.jpg
1,XKQ,RED,XKQ,CUP,DISC,match,0,2,BlackDisc_3.jpg,RedDisc_1.jpg,BlueDisc_1.jpg,PinkDisc_2.jpg
2,MTPV,PINK,MTPV,BOAT,DISC,mismatch,2,0,BrownBag_2.jpg,PinkDisc_1.jpg,BlackSquare_3.jpg,BrownBell_2.jpg
3,QXSW,BLUE,QXSW,LAMP,DISC,mismatch,1,0,BlueBell_3.jpg,BlueFlag_3.jpg,BlackLeaf_3.jpg,BlueHouse_3.jpg
4,WVCNZ,GREEN,RJDNW,HOUSE,PLANE,match,0,1,BlackPlane_3.jpg,GreenPlane_1.jpg,BluePlane_3.jpg,BrownHouse_1.jpg
5,ZBXLV,BLACK,ZBXLV,CROSS,PLANE,match,0,2,BlackPlane_2.jpg,BlackPlane_1.jpg,BrownPlane_3.jpg,BlackPlane_2.jpg
6,XKQ,RED,XKQ,CUP,PLANE,mismatch,2,0,BlackBoat_2.jpg,PinkPlane_2.jpg,PinkTree_3.jpg,BlueCross_2.jpg
7,QXSW,BLUE,QXSW,BOAT,PLANE,mismatch,2,0,GreenCane_2.jpg,BlackPlane_2.jpg,PinkBoat_2.jpg,BlueBow_2.jpg
8,ZBXLV,BLACK,RJDNW,CROSS,BAG,match,0,1,RedBag_3.jpg,BlackBag_2.jpg,PinkBag_1.jpg,BlueCross_3.jpg
9,RJDNW,BROWN,ZBXLV,PLANE,BAG,match,0,2,BrownBag_3.jpg,BrownBag_1.jpg,GreenBag_3.jpg,BlackBag_3.jpg
10,QXSW,BLUE,QXSW,BOAT,BAG,mismatch,2,0,BlueBell_2.jpg,RedBag_3.jpg,BlackFork_2.jpg,BrownCup_3.jpg
11,XKQ,RED,XKQ,CUP,BAG,mismatch,1,0,PinkPlane_1.jpg,RedCup_3.jpg,BrownFlag_2.jpg,BlackShoe_3.jpg
12,WVCNZ,BLACK,RJDNW,PLANE,LOCK,match,0,1,BrownLock_1.jpg,BlackLock_1.jpg,BlackLock_1.jpg,BrownPlane_1.jpg
13,ZBXLV,GREEN,ZBXLV,HOUSE,LOCK,match,0,2,PinkLock_3.jpg,GreenLock_2.jpg,PinkLock_3.jpg,BrownLock_1.jpg
14,RJDNW,BROWN,WVCNZ,CROSS,LOCK,mismatch,2,0,BlackBow_3.jpg,GreenLock_2.jpg,BrownCane_1.jpg,BlackKey_1.jpg
15,MTPV,PINK,QXSW,LAMP,LOCK,mismatch,1,0,BlueLamp_2.jpg,PinkFlag_3.jpg,BlueLamp_2.jpg,RedBone_1.jpg
16,RJDNW,GREEN,RJDNW,HOUSE,CANE,match,0,1,GreenCane_1.jpg,GreenCane_1.jpg,RedCane_2.jpg,RedHouse_3.jpg
17,QXSW,BLUE,QXSW,BOAT,CANE,match,0,2,BrownCane_1.jpg,BlueCane_3.jpg,BlackCane_1.jpg,PinkCane_2.jpg
18,WVCNZ,BROWN,WVCNZ,CROSS,CANE,mismatch,1,0,BrownLamp_1.jpg,BrownShoe_1.jpg,RedLock_2.jpg,BlackPlane_3.jpg
19,XKQ,RED,XKQ,CUP,CANE,mismatch,3,0,PinkNote_1.jpg,BrownBag_2.jpg,BrownHeart_3.jpg,BrownTree_3.jpg
20,XKQ,RED,XKQ,CUP,HAND,match,0,1,PinkHand_1.jpg,RedHand_2.jpg,PinkHand_3.jpg,BlackCup_1.jpg
21,ZBXLV,BLACK,RJDNW,HOUSE,HAND,match,0,2,PinkHand_2.jpg,BlackHand_2.jpg,BlackHand_3.jpg,BlueHand_2.jpg
22,RJDNW,GREEN,WVCNZ,CROSS,HAND,mismatch,3,0,GreenCane_2.jpg,PinkBoat_1.jpg,BlueLamp_3.jpg,RedLeaf_1.jpg
23,MTPV,PINK,QXSW,LAMP,HAND,mismatch,1,0,PinkTree_3.jpg,PinkLock_3.jpg,GreenTree_2.jpg,BlueFork_3.jpg
24,WVCNZ,BLACK,RJDNW,HOUSE,KEY,match,0,1,GreenKey_2.jpg,BlackKey_3.jpg,RedKey_3.jpg,BlackHouse_2.jpg
25,MTPV,BLUE,QXSW,LAMP,KEY,match,0,2,PinkKey_3.jpg,BlueKey_2.jpg,BlueKey_1.jpg,BlueKey_3.jpg
26,RJDNW,GREEN,WVCNZ,PLANE,KEY,mismatch,3,0,GreenFlag_2.jpg,BlackCup_3.jpg,BlueBell_1.jpg,GreenSquare_2.jpg
27,QXSW,PINK,MTPV,BOAT,KEY,mismatch,1,0,BlueTree_2.jpg,PinkBoat_3.jpg,BlackCup_3.jpg,BlackPlane_3.jpg
28,ZBXLV,BROWN,WVCNZ,CROSS,SHOE,match,0,1,BlackShoe_3.jpg,BrownShoe_3.jpg,BlueShoe_1.jpg,RedCross_1.jpg
29,QXSW,BLUE,QXSW,LAMP,SHOE,match,0,2,BlueShoe_1.jpg,BlueShoe_3.jpg,RedShoe_2.jpg,BrownShoe_2.jpg
30,RJDNW,GREEN,RJDNW,HOUSE,SHOE,mismatch,3,0,GreenBag_1.jpg,BlackDisc_3.jpg,RedNote_2.jpg,BrownLamp_1.jpg
31,WVCNZ,BLACK,ZBXLV,PLANE,SHOE,mismatch,2,0,BlackHeart_3.jpg,BlueShoe_1.jpg,PinkKey_1.jpg,GreenCup_3.jpg
32,XKQ,RED,XKQ,CUP,BONE,match,0,1,BlueBone_2.jpg,RedBone_2.jpg,BlueBone_3.jpg,BrownCup_2.jpg
33,WVCNZ,BROWN,ZBXLV,PLANE,BONE,match,0,2,RedBone_2.jpg,BrownBone_1.jpg,BrownBone_1.jpg,BrownBone_1.jpg
34,QXSW,BLUE,MTPV,LAMP,BONE,mismatch,2,0,GreenNote_1.jpg,RedBone_2.jpg,RedPlane_3.jpg,GreenLock_1.jpg
35,ZBXLV,BLACK,RJDNW,CROSS,BONE,mismatch,3,0,BlackBoat_3.jpg,BlueKey_1.jpg,BlueHand_2.jpg,BlueBow_2.jpg
36,QXSW,BLUE,QXSW,BOAT,SQUARE,match,0,1,PinkSquare_2.jpg,BlueSquare_1.jpg,PinkSquare_3.jpg,PinkBoat_3.jpg
37,ZBXLV,BROWN,WVCNZ,HOUSE,SQUARE,match,0,2,RedSquare_2.jpg,BrownSquare_2.jpg,RedSquare_1.jpg,RedSquare_3.jpg
38,XKQ,RED,XKQ,CUP,SQUARE,mismatch,1,0,BrownLeaf_2.jpg,RedBow_2.jpg,BrownLock_3.jpg,BlueTree_1.jpg
39,WVCNZ,GREEN,RJDNW,PLANE,SQUARE,mismatch,1,0,BrownDisc_3.jpg,GreenLeaf_2.jpg,BlueBow_3.jpg,BlueLamp_3.jpg
40,RJDNW,BROWN,RJDNW,PLANE,BELL,match,0,1,PinkBell_3.jpg,BrownBell_3.jpg,GreenBell_1.jpg,BlackPlane_2.jpg
41,WVCNZ,BLACK,WVCNZ,HOUSE,BELL,match,0,2,PinkBell_3.jpg,BlackBell_2.jpg,BlackBell_3.jpg,PinkBell_2.jpg
42,MTPV,PINK,MTPV,LAMP,BELL,mismatch,2,0,BrownKey_3.jpg,BlackBell_2.jpg,BlueHeart_3.jpg,BrownStar_3.jpg
43,QXSW,BLUE,QXSW,BOAT,BELL,mismatch,3,0,BlueBag_2.jpg,BlackLamp_2.jpg,RedLamp_2.jpg,GreenPlane_1.jpg
44,ZBXLV,BLACK,RJDNW,PLANE,BOAT,match,0,1,GreenBoat_2.jpg,BlackBoat_1.jpg,PinkBoat_2.jpg,BrownPlane_3.jpg
45,XKQ,RED,XKQ,CUP,BOAT,match,0,2,BrownBoat_2.jpg,RedBoat_1.jpg,PinkBoat_2.jpg,BlackBoat_1.jpg
46,WVCNZ,GREEN,WVCNZ,CROSS,BOAT,mismatch,2,0,PinkCup_3.jpg,BlueBoat_2.jpg,BlackHouse_2.jpg,RedLamp_2.jpg
47,RJDNW,BROWN,ZBXLV,HOUSE,BOAT,mismatch,2,0,BluePlane_2.jpg,BlackBoat_2.jpg,BlackHeart_1.jpg,BrownTree_2.jpg
48,WVCNZ,BLACK,ZBXLV,PLANE,BOW,match,0,1,GreenBow_1.jpg,BlackBow_2.jpg,BlueBow_2.jpg,BluePlane_2.jpg
49,MTPV,BLUE,MTPV,LAMP,BOW,match,0,2,BlackBow_1.jpg,BlueBow_1.jpg,BrownBow_3.jpg,RedBow_2.jpg
50,RJDNW,BROWN,WVCNZ,CROSS,BOW,mismatch,3,0,BrownLeaf_2.jpg,GreenCross_1.jpg,GreenBoat_2.jpg,GreenSquare_1.jpg
51,ZBXLV,GREEN,RJDNW,HOUSE,BOW,mismatch,3,0,BrownLock_2.jpg,BlackBone_2.jpg,BlueShoe_2.jpg,BlackTree_2.jpg
