,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,MTPV,PINK,MTPV,BOAT,DISC,match,0,1,RedDisc_1.jpg,PinkDisc_2.jpg,RedDisc_1.jpg,GreenBoat_2.jpg
1,ZBXLV,BLACK,RJDNW,CROSS,DISC,match,0,2,RedDisc_2.jpg,BlackDisc_2.jpg,PinkDisc_1.jpg,RedDisc_3.jpg
2,WVCNZ,GREEN,ZBXLV,HOUSE,DISC,mismatch,3,0,PinkCane_2.jpg,BlueNote_2.jpg,GreenCane_3.jpg,PinkKey_3.jpg
3,XKQ,RED,XKQ,CUP,DISC,mismatch,3,0,PinkHand_1.jpg,RedSquare_1.jpg,GreenCross_3.jpg,BrownCane_3.jpg
4,MTPV,PINK,MTPV,LAMP,PLANE,match,0,1,BluePlane_1.jpg,PinkPlane_3.jpg,BrownPlane_3.jpg,BlackLamp_2.jpg
5,QXSW,BLUE,QXSW,BOAT,PLANE,match,0,2,GreenPlane_1.jpg,BluePlane_3.jpg,BlackPlane_1.jpg,RedPlane_1.jpg
6,RJDNW,BLACK,ZBXLV,CROSS,PLANE,mismatch,3,0,PinkBag_1.jpg,BlueCar_2.jpg,BlackCup_1.jpg,BrownBone_2.jpg
7,XKQ,RED,XKQ,CUP,PLANE,mismatch,2,0,GreenHouse_3.jpg,BlackPlane_1.jpg,GreenCross_3.jpg,BlueHeart_1.jpg
8,MTPV,PINK,QXSW,BOAT,BAG,match,0,1,PinkBag_2.jpg,PinkBag_1.jpg,GreenBag_3.jpg,GreenBoat_2.jpg
9,RJDNW,BROWN,WVCNZ,HOUSE,BAG,match,0,2,RedBag_3.jpg,BrownBag_2.jpg,BlueBag_1.jpg,RedBag_2.jpg
10,QXSW,BLUE,MTPV,LAMP,BAG,mismatch,3,0,GreenBell_3.jpg,RedNote_3.jpg,RedBell_2.jpg,BlackHouse_3.jpg
11,WVCNZ,BLACK,RJDNW,PLANE,BAG,mismatch,2,0,GreenCup_2.jpg,GreenBag_2.jpg,BlueShoe_3.jpg,BlackSquare_2.jpg
12,MTPV,PINK,MTPV,BOAT,LOCK,match,0,1,PinkLock_1.jpg,PinkLock_1.jpg,BrownLock_2.jpg,RedBoat_3.jpg
13,XKQ,RED,XKQ,CUP,LOCK,match,0,2,PinkLock_1.jpg,RedLock_1.jpg,PinkLock_2.jpg,BlackLock_1.jpg
14,WVCNZ,BLACK,ZBXLV,CROSS,LOCK,mismatch,2,0,GreenBag_2.jpg,BlueLock_1.jpg,BrownKey_1.jpg,RedCane_1.jpg
15,RJDNW,BROWN,RJDNW,PLANE,LOCK,mismatch,3,0,RedHeart_2.jpg,PinkPlane_2.jpg,PinkHeart_3.jpg,BlackBow_3.jpg
16,XKQ,RED,XKQ,CUP,CANE,match,0,1,RedCane_2.jpg,RedCane_3.jpg,PinkCane_3.jpg,BlueCup_1.jpg
17,ZBXLV,GREEN,WVCNZ,CROSS,CANE,match,0,2,BlackCane_3.jpg,GreenCane_1.jpg,PinkCane_2.jpg,PinkCane_3.jpg
18,MTPV,PINK,QXSW,BOAT,CANE,mismatch,3,0,BluePlane_3.jpg,RedBag_1.jpg,PinkSquare_1.jpg,BlackBone_2.jpg
19,QXSW,BLUE,MTPV,LAMP,CANE,mismatch,2,0,BlueCup_2.jpg,BlackCane_2.jpg,BlackCar_3.jpg,BrownDisc_3.jpg
20,QXSW,PINK,MTPV,BOAT,HAND,match,0,1,BlackHand_3.jpg,PinkHand_2.jpg,BlackHand_2.jpg,GreenBoat_1.jpg
21,WVCNZ,BROWN,RJDNW,PLANE,HAND,match,0,2,PinkHand_3.jpg,BrownHand_2.jpg,RedHand_2.jpg,RedHand_3.jpg
22,XKQ,RED,XKQ,CUP,HAND,mismatch,2,0,RedBag_1.jpg,RedHand_1.jpg,GreenLamp_1.jpg,BrownCane_2.jpg
23,RJDNW,BLACK,WVCNZ,CROSS,HAND,mismatch,2,0,PinkLock_2.jpg,RedHand_3.jpg,PinkBell_3.jpg,BlackCup_2.jpg
24,XKQ,RED,XKQ,CUP,KEY,match,0,1,PinkKey_2.jpg,RedKey_2.jpg,RedKey_1.jpg,PinkCup_2.jpg
25,RJDNW,BROWN,RJDNW,HOUSE,KEY,match,0,2,PinkKey_1.jpg,BrownKey_1.jpg,RedKey_3.jpg,GreenKey_3.jpg
26,WVCNZ,GREEN,WVCNZ,PLANE,KEY,mismatch,1,0,BrownTree_2.jpg,GreenLamp_2.jpg,GreenStar_1.jpg,BrownSquare_2.jpg
27,MTPV,PINK,QXSW,LAMP,KEY,mismatch,1,0,BrownSquare_3.jpg,PinkBow_2.jpg,PinkBoat_2.jpg,BlackLeaf_3.jpg
28,ZBXLV,GREEN,ZBXLV,CROSS,SHOE,match,0,1,RedShoe_3.jpg,GreenShoe_3.jpg,BlueShoe_3.jpg,BlueCross_1.jpg
29,MTPV,PINK,MTPV,LAMP,SHOE,match,0,2,BlackShoe_3.jpg,PinkShoe_1.jpg,GreenShoe_1.jpg,PinkShoe_2.jpg
