,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,WVCNZ,BROWN,RJDNW,HOUSE,DISC,match,0,1,RedDisc_1.jpg,BrownDisc_2.jpg,RedDisc_3.jpg,BrownHouse_1.jpg
1,ZBXLV,BLACK,ZBXLV,PLANE,DISC,match,0,2,BlackDisc_2.jpg,BlackDisc_1.jpg,PinkDisc_1.jpg,BlueDisc_3.jpg
2,QXSW,BLUE,MTPV,LAMP,DISC,mismatch,2,0,PinkCup_3.jpg,BlackDisc_2.jpg,BrownBone_2.jpg,BlackHouse_1.jpg
3,XKQ,RED,XKQ,CUP,DISC,mismatch,2,0,BlackCup_2.jpg,GreenDisc_1.jpg,BrownShoe_3.jpg,PinkHouse_1.jpg
4,ZBXLV,GREEN,RJDNW,HOUSE,PLANE,match,0,1,RedPlane_2.jpg,GreenPlane_3.jpg,BluePlane_3.jpg,GreenHouse_2.jpg
5,XKQ,RED,XKQ,CUP,PLANE,match,0,2,BlackPlane_1.jpg,RedPlane_2.jpg,BlackPlane_2.jpg,BlackPlane_3.jpg
6,MTPV,BLUE,MTPV,LAMP,PLANE,mismatch,2,0,BlackBoat_3.jpg,GreenPlane_1.jpg,BlueDisc_1.jpg,GreenHouse_1.jpg
7,RJDNW,BROWN,ZBXLV,CROSS,PLANE,mismatch,1,0,GreenLamp_2.jpg,BrownBone_2.jpg,BlueKey_3.jpg,BlueCane_3.jpg
8,MTPV,PINK,QXSW,LAMP,BAG,match,0,1,GreenBag_1.jpg,PinkBag_3.jpg,GreenBag_2.jpg,PinkLamp_2.jpg
9,XKQ,RED,XKQ,CUP,BAG,match,0,2,BlackBag_3.jpg,RedBag_3.jpg,BlueBag_3.jpg,GreenBag_2.jpg
10,WVCNZ,BLACK,RJDNW,HOUSE,BAG,mismatch,3,0,BrownPlane_2.jpg,RedHeart_2.jpg,BlackPlane_1.jpg,GreenLeaf_1.jpg
11,ZBXLV,GREEN,ZBXLV,CROSS,BAG,mismatch,1,0,BlackLeaf_3.jpg,GreenStar_1.jpg,PinkBone_2.jpg,PinkShoe_3.jpg
12,ZBXLV,BLACK,ZBXLV,HOUSE,LOCK,match,0,1,RedLock_2.jpg,BlackLock_2.jpg,BrownLock_2.jpg,GreenHouse_2.jpg
13,MTPV,BLUE,MTPV,LAMP,LOCK,match,0,2,RedLock_2.jpg,BlueLock_2.jpg,RedLock_2.jpg,RedLock_2.jpg
14,XKQ,RED,XKQ,CUP,LOCK,mismatch,3,0,GreenDisc_1.jpg,PinkCross_2.jpg,RedSquare_1.jpg,BrownNote_1.jpg
15,WVCNZ,BROWN,WVCNZ,CROSS,LOCK,mismatch,2,0,BrownHeart_3.jpg,BlackLock_2.jpg,BrownHand_2.jpg,GreenCup_1.jpg
16,RJDNW,GREEN,ZBXLV,PLANE,CANE,match,0,1,BlackCane_3.jpg,GreenCane_1.jpg,PinkCane_2.jpg,BrownPlane_2.jpg
17,XKQ,RED,XKQ,CUP,CANE,match,0,2,PinkCane_1.jpg,RedCane_2.jpg,PinkCane_1.jpg,BrownCane_2.jpg
18,WVCNZ,BROWN,RJDNW,CROSS,CANE,mismatch,2,0,PinkTree_1.jpg,BlackCane_3.jpg,BrownLamp_1.jpg,PinkShoe_3.jpg
19,QXSW,BLUE,QXSW,LAMP,CANE,mismatch,3,0,BrownCar_1.jpg,PinkFork_2.jpg,GreenCross_2.jpg,RedNote_2.jpg
20,ZBXLV,GREEN,ZBXLV,CROSS,HAND,match,0,1,BrownHand_1.jpg,GreenHand_2.jpg,RedHand_1.jpg,BlueCross_1.jpg
21,MTPV,PINK,QXSW,LAMP,HAND,match,0,2,BrownHand_2.jpg,PinkHand_2.jpg,BlackHand_2.jpg,RedHand_3.jpg
22,QXSW,BLUE,MTPV,BOAT,HAND,mismatch,2,0,BlackFlag_3.jpg,BlackHand_1.jpg,BrownBell_1.jpg,GreenTree_3.jpg
23,XKQ,RED,XKQ,CUP,HAND,mismatch,2,0,BrownLeaf_3.jpg,RedHand_2.jpg,GreenCane_1.jpg,BrownBow_3.jpg
24,XKQ,RED,XKQ,CUP,KEY,match,0,1,RedKey_3.jpg,RedKey_1.jpg,BrownKey_2.jpg,GreenCup_3.jpg
25,QXSW,PINK,QXSW,BOAT,KEY,match,0,2,RedKey_1.jpg,PinkKey_2.jpg,RedKey_3.jpg,BlueKey_3.jpg
26,RJDNW,BROWN,RJDNW,HOUSE,KEY,mismatch,2,0,GreenCross_2.jpg,RedKey_1.jpg,GreenLock_1.jpg,BlueBell_1.jpg
27,ZBXLV,GREEN,WVCNZ,PLANE,KEY,mismatch,3,0,BlackHand_1.jpg,BlackBone_1.jpg,PinkHand_3.jpg,BlueFork_2.jpg
28,MTPV,BLUE,MTPV,LAMP,SHOE,match,0,1,BlueShoe_1.jpg,BlueShoe_3.jpg,RedShoe_2.jpg,BrownLamp_3.jpg
29,RJDNW,GREEN,ZBXLV,CROSS,SHOE,match,0,2,BrownShoe_1.jpg,GreenShoe_3.jpg,BrownShoe_1.jpg,PinkShoe_3.jpg
30,XKQ,RED,XKQ,CUP,SHOE,mismatch,1,0,GreenBow_1.jpg,RedHeart_1.jpg,PinkHand_3.jpg,RedPlane_2.jpg
31,WVCNZ,BLACK,RJDNW,HOUSE,SHOE,mismatch,2,0,GreenKey_2.jpg,BrownShoe_2.jpg,BlackHand_3.jpg,PinkCross_2.jpg
32,XKQ,RED,XKQ,CUP,BONE,match,0,1,PinkBone_3.jpg,RedBone_3.jpg,BlackBone_3.jpg,BlueCup_3.jpg
33,QXSW,PINK,MTPV,BOAT,BONE,match,0,2,BrownBone_1.jpg,PinkBone_2.jpg,RedBone_1.jpg,GreenBone_2.jpg
34,MTPV,BLUE,QXSW,LAMP,BONE,mismatch,1,0,PinkStar_3.jpg,BlueLamp_1.jpg,GreenNote_2.jpg,GreenFork_3.jpg
35,WVCNZ,BROWN,RJDNW,CROSS,BONE,mismatch,1,0,BrownLock_3.jpg,BrownNote_3.jpg,BlackDisc_3.jpg,BrownSquare_1.jpg
