,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
83,HOUSE,HEART,LIST_2W,match,0,BlackHeart_2.jpg,300
84,RJDNW,SQUARE,LIST_1W,match,0,BlackSquare_1.jpg,400
85,MTPV,FLAG,LIST_1W,mismatch,2,BrownNote_1.jpg,500
86,CUP,CAR,LIST_2W,match,0,BrownCar_1.jpg,300
87,PLANE,KEY,LIST_2W,match,0,GreenKey_3.jpg,300
88,CUP,BOAT,LIST_2W,mismatch,1,RedLamp_1.jpg,200
89,XKQ,LEAF,LIST_1W,mismatch,2,PinkStar_1.jpg,200
90,PLANE,BOW,LIST_2W,match,0,BlackPlane_3.jpg,400
91,HOUSE,BAG,LIST_2W,match,0,BrownHouse_2.jpg,200
92,MTPV,CUP,LIST_1W,mismatch,2,BlackStar_1.jpg,600
93,HOUSE,TREE,LIST_2W,match,0,BlackHouse_1.jpg,600
94,CUP,BONE,LIST_2W,mismatch,2,PinkCross_2.jpg,500
95,HOUSE,SQUARE,LIST_2W,match,0,BlueSquare_3.jpg,500
96,QXSW,CUP,LIST_1W,mismatch,1,BlackKey_1.jpg,500
97,QXSW,NOTE,LIST_1W,mismatch,1,RedBone_3.jpg,300
98,QXSW,CUP,LIST_1W,mismatch,1,BlackKey_1.jpg,400
99,BOAT,SQUARE,LIST_2W,mismatch,2,RedBag_1.jpg,600
