,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,XKQ,FORK,LIST_1W,match,0,BlackFork_2.jpg,200
1,BOAT,NOTE,LIST_2W,match,0,RedBoat_2.jpg,400
2,QXSW,BAG,LIST_1W,mismatch,2,PinkFork_3.jpg,500
3,PLANE,SHOE,LIST_2W,mismatch,1,RedCross_1.jpg,600
4,QXSW,TREE,LIST_1W,match,0,GreenTree_1.jpg,600
5,LAMP,STAR,LIST_2W,match,0,BlueStar_1.jpg,300
6,CUP,LEAF,LIST_2W,match,0,BlackLeaf_2.jpg,200
7,XKQ,BOAT,LIST_1W,match,0,PinkBoat_3.jpg,200
8,WVCNZ,HOUSE,LIST_1W,mismatch,2,RedNote_3.jpg,200
9,QXSW,CAR,LIST_1W,mismatch,1,RedHand_1.jpg,400
10,HOUSE,BELL,LIST_2W,match,0,BlueBell_1.jpg,300
11,ZBXLV,STAR,LIST_1W,mismatch,3,BlueFork_1.jpg,300
12,WVCNZ,DISC,LIST_1W,mismatch,3,BlueBow_1.jpg,500
13,RJDNW,FORK,LIST_1W,match,0,BrownFork_3.jpg,500
14,LAMP,BONE,LIST_2W,match,0,BlackLamp_2.jpg,500
15,QXSW,BONE,LIST_1W,mismatch,2,BrownBoat_2.jpg,600
16,CUP,BONE,LIST_2W,mismatch,2,RedFlag_2.jpg,300
17,WVCNZ,CUP,LIST_1W,match,0,RedCup_1.jpg,500
18,QXSW,PLANE,LIST_1W,match,0,PinkPlane_2.jpg,500
19,PLANE,LOCK,LIST_2W,mismatch,3,GreenLeaf_2.jpg,500
20,WVCNZ,CAR,LIST_1W,match,0,PinkCar_3.jpg,400
21,CUP,BAG,LIST_2W,match,0,BrownCup_3.jpg,500
22,XKQ,LOCK,LIST_1W,match,0,BrownLock_1.jpg,600
23,LAMP,HOUSE,LIST_2W,match,0,BrownLamp_2.jpg,500
24,BOAT,BELL,LIST_2W,mismatch,2,BlueCross_2.jpg,500
25,HOUSE,CUP,LIST_2W,mismatch,1,BrownFork_3.jpg,200
26,RJDNW,TREE,LIST_1W,mismatch,1,RedBow_1.jpg,500
27,XKQ,BOW,LIST_1W,match,0,BrownBow_2.jpg,400
28,BOAT,FORK,LIST_2W,mismatch,3,RedCross_3.jpg,600
29,WVCNZ,LEAF,LIST_1W,mismatch,2,RedCross_1.jpg,600
30,CUP,NOTE,LIST_2W,match,0,GreenNote_1.jpg,400
31,QXSW,KEY,LIST_1W,mismatch,3,BlackLamp_3.jpg,600
32,HOUSE,FORK,LIST_2W,mismatch,1,GreenBoat_3.jpg,400
33,RJDNW,KEY,LIST_1W,match,0,BlackKey_2.jpg,400
34,ZBXLV,HAND,LIST_1W,match,0,BlueHand_3.jpg,300
35,BOAT,HOUSE,LIST_2W,match,0,PinkHouse_3.jpg,200
36,MTPV,HAND,LIST_1W,match,0,PinkHand_1.jpg,600
37,BOAT,SHOE,LIST_2W,mismatch,3,BlueHeart_3.jpg,500
38,QXSW,DISC,LIST_1W,match,0,PinkDisc_2.jpg,300
39,BOAT,TREE,LIST_2W,mismatch,2,BlueLamp_3.jpg,200
40,CUP,DISC,LIST_2W,match,0,RedCup_1.jpg,500
41,RJDNW,LOCK,LIST_1W,match,0,GreenLock_3.jpg,300
42,PLANE,BOW,LIST_2W,mismatch,1,BlackCross_3.jpg,600
43,PLANE,FLAG,LIST_2W,match,0,BrownPlane_2.jpg,300
44,RJDNW,NOTE,LIST_1W,mismatch,1,BlueHeart_2.jpg,600
45,CROSS,BOW,LIST_2W,mismatch,1,RedBell_2.jpg,200
46,CUP,FLAG,LIST_2W,mismatch,2,PinkCar_2.jpg,400
47,MTPV,LEAF,LIST_1W,match,0,BlackLeaf_2.jpg,300
48,PLANE,LAMP,LIST_2W,mismatch,2,GreenLeaf_2.jpg,300
49,RJDNW,CAR,LIST_1W,mismatch,3,BlueLock_2.jpg,200
50,QXSW,BOW,LIST_1W,match,0,BlackBow_1.jpg,300
51,BOAT,LAMP,LIST_2W,mismatch,3,GreenSquare_3.jpg,400
52,HOUSE,CROSS,LIST_2W,match,0,BrownHouse_2.jpg,600
53,ZBXLV,CANE,LIST_1W,match,0,BrownCane_1.jpg,200
54,HOUSE,BONE,LIST_2W,match,0,BlackBone_1.jpg,300
55,XKQ,KEY,LIST_1W,mismatch,1,PinkTree_2.jpg,600
56,WVCNZ,CANE,LIST_1W,match,0,RedCane_2.jpg,500
57,RJDNW,HAND,LIST_1W,mismatch,1,PinkLamp_2.jpg,300
58,BOAT,CROSS,LIST_2W,match,0,PinkCross_2.jpg,400
59,ZBXLV,PLANE,LIST_1W,mismatch,3,BrownBow_1.jpg,300
60,LAMP,HEART,LIST_2W,match,0,BrownLamp_1.jpg,600
61,PLANE,BOAT,LIST_2W,mismatch,2,BlackCup_1.jpg,300
62,ZBXLV,HEART,LIST_1W,mismatch,2,RedLock_1.jpg,400
63,MTPV,FLAG,LIST_1W,match,0,BrownFlag_1.jpg,200
64,CROSS,TREE,LIST_2W,match,0,RedTree_3.jpg,500
65,CUP,BELL,LIST_2W,mismatch,2,PinkFork_3.jpg,500
66,HOUSE,KEY,LIST_2W,match,0,BlueKey_1.jpg,200
67,MTPV,BAG,LIST_1W,mismatch,2,BrownBow_3.jpg,200
68,HOUSE,DISC,LIST_2W,mismatch,1,BlueCross_3.jpg,200
69,WVCNZ,SHOE,LIST_1W,match,0,BrownShoe_1.jpg,500
70,CUP,HOUSE,LIST_2W,mismatch,3,PinkFork_2.jpg,400
71,LAMP,SHOE,LIST_2W,match,0,BlackLamp_2.jpg,400
72,PLANE,BELL,LIST_2W,match,0,PinkPlane_2.jpg,600
73,WVCNZ,SQUARE,LIST_1W,mismatch,3,PinkBow_2.jpg,400
74,BOAT,STAR,LIST_2W,match,0,GreenBoat_2.jpg,300
75,QXSW,BOAT,LIST_1W,match,0,GreenBoat_2.jpg,400
76,WVCNZ,NOTE,LIST_1W,mismatch,1,BrownLeaf_1.jpg,300
77,XKQ,CROSS,LIST_1W,mismatch,3,PinkBoat_3.jpg,400
78,HOUSE,LOCK,LIST_2W,mismatch,1,BlackBell_3.jpg,300
79,XKQ,SQUARE,LIST_1W,match,0,BlueSquare_3.jpg,400
80,LAMP,CROSS,LIST_2W,mismatch,2,BrownBow_2.jpg,300
81,HOUSE,CAR,LIST_2W,match,0,PinkCar_2.jpg,600
82,CROSS,LAMP,LIST_2W,match,0,BrownLamp_1.jpg,200
83,QXSW,CANE,LIST_1W,mismatch,3,BlueSquare_3.jpg,400
84,CROSS,SQUARE,LIST_2W,match,0,BlueCross_1.jpg,200
85,CUP,HAND,LIST_2W,mismatch,1,GreenNote_1.jpg,500
86,XKQ,LAMP,LIST_1W,match,0,BrownLamp_1.jpg,600
87,BOAT,CANE,LIST_2W,mismatch,3,PinkDisc_2.jpg,600
88,XKQ,STAR,LIST_1W,mismatch,3,BlackCup_2.jpg,300
89,ZBXLV,BOAT,LIST_1W,mismatch,2,GreenHand_1.jpg,500
90,LAMP,CUP,LIST_2W,match,0,BlackLamp_2.jpg,400
91,XKQ,HEART,LIST_1W,match,0,BlackHeart_2.jpg,200
92,BOAT,HEART,LIST_2W,mismatch,1,BrownCar_1.jpg,200
93,QXSW,LEAF,LIST_1W,mismatch,3,PinkTree_1.jpg,200
94,BOAT,CUP,LIST_2W,mismatch,3,BlackFlag_3.jpg,400
95,ZBXLV,SQUARE,LIST_1W,mismatch,1,BlackHeart_2.jpg,500
96,PLANE,BAG,LIST_2W,match,0,PinkBag_3.jpg,600
