,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,BOAT,STAR,LIST_2W,match,0,BrownBoat_2.jpg,400
1,RJDNW,BELL,LIST_1W,match,0,BlackBell_1.jpg,600
2,QXSW,LEAF,LIST_1W,match,0,BrownLeaf_1.jpg,200
3,BOAT,TREE,LIST_2W,mismatch,2,BlackBell_3.jpg,200
4,WVCNZ,NOTE,LIST_1W,match,0,BlackNote_2.jpg,300
5,BOAT,BELL,LIST_2W,mismatch,2,RedShoe_2.jpg,400
6,QXSW,SQUARE,LIST_1W,match,0,BlackSquare_3.jpg,600
7,PLANE,HEART,LIST_2W,mismatch,1,RedStar_2.jpg,300
8,CUP,BELL,LIST_2W,mismatch,2,BlueNote_1.jpg,500
9,CUP,KEY,LIST_2W,match,0,BlackCup_3.jpg,500
10,XKQ,DISC,LIST_1W,mismatch,3,BrownCross_2.jpg,400
11,BOAT,KEY,LIST_2W,mismatch,2,BlackHand_1.jpg,500
12,CUP,BOW,LIST_2W,match,0,BlackBow_1.jpg,300
13,CUP,LAMP,LIST_2W,mismatch,2,BrownTree_2.jpg,200
14,QXSW,BAG,LIST_1W,mismatch,1,BlueFlag_1.jpg,600
15,ZBXLV,CANE,LIST_1W,match,0,BlackCane_2.jpg,500
16,PLANE,BOAT,LIST_2W,mismatch,3,GreenBone_1.jpg,500
17,QXSW,HEART,LIST_1W,mismatch,2,RedHouse_3.jpg,400
18,LAMP,HEART,LIST_2W,match,0,BlueLamp_1.jpg,400
19,MTPV,HOUSE,LIST_1W,match,0,BlackHouse_3.jpg,500
20,CROSS,LEAF,LIST_2W,mismatch,2,BlackHouse_3.jpg,600
21,QXSW,FORK,LIST_1W,match,0,BlackFork_2.jpg,200
22,ZBXLV,BAG,LIST_1W,mismatch,3,RedHand_1.jpg,300
23,CUP,HOUSE,LIST_2W,mismatch,2,PinkLamp_3.jpg,200
24,MTPV,PLANE,LIST_1W,mismatch,3,RedBell_3.jpg,500
25,LAMP,TREE,LIST_2W,match,0,RedLamp_3.jpg,600
26,QXSW,HOUSE,LIST_1W,match,0,BlackHouse_1.jpg,400
27,RJDNW,BOAT,LIST_1W,match,0,GreenBoat_3.jpg,300
28,WVCNZ,SQUARE,LIST_1W,mismatch,2,BlackHeart_3.jpg,600
29,PLANE,HOUSE,LIST_2W,mismatch,2,GreenLock_1.jpg,400
30,ZBXLV,STAR,LIST_1W,mismatch,3,RedBone_2.jpg,200
31,PLANE,FORK,LIST_2W,mismatch,2,BrownBow_1.jpg,300
32,XKQ,BONE,LIST_1W,match,0,BrownBone_1.jpg,500
33,PLANE,LOCK,LIST_2W,match,0,BluePlane_3.jpg,200
34,BOAT,BONE,LIST_2W,mismatch,2,PinkKey_3.jpg,500
35,CROSS,FLAG,LIST_2W,match,0,GreenCross_1.jpg,500
36,MTPV,CUP,LIST_1W,mismatch,1,GreenBow_2.jpg,200
37,CUP,BOAT,LIST_2W,mismatch,3,BrownBell_2.jpg,200
38,RJDNW,PLANE,LIST_1W,match,0,GreenPlane_2.jpg,200
39,PLANE,CAR,LIST_2W,match,0,BlueCar_3.jpg,200
40,MTPV,BAG,LIST_1W,match,0,PinkBag_1.jpg,400
41,MTPV,LAMP,LIST_1W,match,0,GreenLamp_2.jpg,600
42,BOAT,CROSS,LIST_2W,mismatch,3,BlackHand_2.jpg,400
43,PLANE,LAMP,LIST_2W,mismatch,3,BlackBag_1.jpg,400
44,MTPV,STAR,LIST_1W,match,0,PinkStar_1.jpg,400
45,RJDNW,STAR,LIST_1W,mismatch,1,BrownBell_2.jpg,400
46,XKQ,SQUARE,LIST_1W,match,0,BrownSquare_3.jpg,400
47,CROSS,CAR,LIST_2W,mismatch,2,GreenFork_2.jpg,400
48,QXSW,DISC,LIST_1W,match,0,RedDisc_3.jpg,300
49,HOUSE,HAND,LIST_2W,match,0,PinkHouse_3.jpg,500
50,XKQ,SHOE,LIST_1W,mismatch,3,BlueSquare_1.jpg,600
51,XKQ,CANE,LIST_1W,mismatch,1,PinkTree_1.jpg,300
52,HOUSE,TREE,LIST_2W,match,0,BlackTree_1.jpg,500
53,HOUSE,BOAT,LIST_2W,match,0,RedHouse_2.jpg,600
54,ZBXLV,LAMP,LIST_1W,match,0,GreenLamp_3.jpg,300
55,MTPV,DISC,LIST_1W,mismatch,2,BlackKey_2.jpg,200
56,PLANE,BOW,LIST_2W,match,0,BluePlane_1.jpg,400
57,LAMP,KEY,LIST_2W,match,0,RedKey_2.jpg,300
58,MTPV,BELL,LIST_1W,match,0,BlackBell_1.jpg,300
59,LAMP,CROSS,LIST_2W,mismatch,3,BrownBone_3.jpg,300
60,MTPV,FLAG,LIST_1W,mismatch,3,RedTree_3.jpg,500
61,WVCNZ,HEART,LIST_1W,match,0,GreenHeart_2.jpg,500
62,ZBXLV,NOTE,LIST_1W,match,0,BlackNote_2.jpg,200
63,CROSS,FORK,LIST_2W,mismatch,3,BrownLeaf_1.jpg,300
64,WVCNZ,CUP,LIST_1W,mismatch,2,RedBag_1.jpg,600
65,CROSS,BONE,LIST_2W,mismatch,1,GreenStar_2.jpg,600
66,ZBXLV,SQUARE,LIST_1W,mismatch,1,PinkBoat_1.jpg,400
67,XKQ,CAR,LIST_1W,match,0,GreenCar_3.jpg,600
68,LAMP,CAR,LIST_2W,mismatch,1,PinkNote_1.jpg,600
69,ZBXLV,BONE,LIST_1W,match,0,BlueBone_3.jpg,500
70,ZBXLV,SHOE,LIST_1W,mismatch,1,GreenCross_1.jpg,200
71,WVCNZ,BOW,LIST_1W,mismatch,1,BlueSquare_2.jpg,300
72,BOAT,SHOE,LIST_2W,match,0,BlackBoat_2.jpg,200
73,RJDNW,BAG,LIST_1W,match,0,BlueBag_1.jpg,200
74,CROSS,CUP,LIST_2W,match,0,GreenCross_1.jpg,600
75,XKQ,TREE,LIST_1W,mismatch,3,RedFork_1.jpg,300
76,LAMP,CANE,LIST_2W,match,0,GreenLamp_1.jpg,400
77,CUP,PLANE,LIST_2W,match,0,GreenPlane_2.jpg,600
78,CUP,FORK,LIST_2W,match,0,BlueCup_2.jpg,200
79,MTPV,BOW,LIST_1W,mismatch,1,BrownTree_2.jpg,500
80,QXSW,HAND,LIST_1W,match,0,PinkHand_2.jpg,600
81,CUP,HAND,LIST_2W,mismatch,3,BlackBone_2.jpg,300
82,BOAT,HAND,LIST_2W,mismatch,3,BrownLamp_3.jpg,600
83,PLANE,CROSS,LIST_2W,match,0,BlackPlane_2.jpg,300
84,MTPV,LEAF,LIST_1W,match,0,BrownLeaf_2.jpg,400
85,ZBXLV,KEY,LIST_1W,mismatch,1,BlueCup_2.jpg,500
86,CROSS,SHOE,LIST_2W,match,0,BlueShoe_1.jpg,300
87,BOAT,CUP,LIST_2W,match,0,BlueCup_3.jpg,300
88,BOAT,NOTE,LIST_2W,mismatch,1,BrownCup_1.jpg,200
89,ZBXLV,LEAF,LIST_1W,mismatch,3,GreenBoat_1.jpg,200
90,CUP,CROSS,LIST_2W,match,0,BlackCross_3.jpg,400
91,CUP,LOCK,LIST_2W,match,0,BlackLock_1.jpg,200
92,XKQ,NOTE,LIST_1W,mismatch,2,RedLock_3.jpg,600
93,CUP,FLAG,LIST_2W,match,0,PinkFlag_2.jpg,600
94,BOAT,CANE,LIST_2W,mismatch,1,BrownCup_1.jpg,500
95,HOUSE,DISC,LIST_2W,match,0,GreenHouse_3.jpg,500
96,RJDNW,FLAG,LIST_1W,mismatch,3,RedFork_2.jpg,500
97,ZBXLV,PLANE,LIST_1W,mismatch,3,PinkBell_3.jpg,300
98,QXSW,LOCK,LIST_1W,mismatch,1,PinkCar_2.jpg,400
99,LAMP,LOCK,LIST_2W,mismatch,1,GreenSquare_1.jpg,600
