,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,CROSS,PLANE,LIST_2W,match,0,BlackPlane_2.jpg,600
1,CUP,BONE,LIST_2W,match,0,BrownCup_2.jpg,500
2,QXSW,LOCK,LIST_1W,mismatch,1,BlueLamp_2.jpg,500
3,XKQ,BOAT,LIST_1W,match,0,PinkBoat_2.jpg,200
4,LAMP,KEY,LIST_2W,match,0,BlueKey_3.jpg,400
5,WVCNZ,BELL,LIST_1W,match,0,BlackBell_3.jpg,500
6,MTPV,CUP,LIST_1W,mismatch,1,PinkKey_3.jpg,300
7,BOAT,PLANE,LIST_2W,mismatch,2,BlueBow_2.jpg,500
8,CROSS,FLAG,LIST_2W,match,0,BlackCross_1.jpg,500
9,LAMP,NOTE,LIST_2W,match,0,BlueNote_2.jpg,300
10,ZBXLV,SHOE,LIST_1W,mismatch,2,PinkKey_1.jpg,400
11,BOAT,CANE,LIST_2W,match,0,PinkCane_2.jpg,300
12,RJDNW,SHOE,LIST_1W,mismatch,3,RedNote_2.jpg,500
13,BOAT,BELL,LIST_2W,mismatch,3,GreenPlane_1.jpg,200
14,RJDNW,LEAF,LIST_1W,match,0,PinkLeaf_1.jpg,600
15,BOAT,LEAF,LIST_2W,match,0,RedBoat_2.jpg,300
16,CUP,CANE,LIST_2W,mismatch,3,BrownTree_3.jpg,600
17,WVCNZ,HEART,LIST_1W,mismatch,1,BlackHouse_2.jpg,400
18,BOAT,CROSS,LIST_2W,match,0,BlackBoat_1.jpg,600
19,QXSW,SHOE,LIST_1W,match,0,RedShoe_2.jpg,400
20,MTPV,BELL,LIST_1W,mismatch,2,BlueHeart_3.jpg,400
21,WVCNZ,CROSS,LIST_1W,mismatch,2,BlueCup_2.jpg,300
22,CROSS,CUP,LIST_2W,mismatch,1,PinkHand_2.jpg,300
23,WVCNZ,SHOE,LIST_1W,match,0,BlueShoe_1.jpg,600
24,QXSW,HAND,LIST_1W,mismatch,1,GreenTree_2.jpg,300
25,HOUSE,CANE,LIST_2W,match,0,RedHouse_3.jpg,200
26,CUP,SQUARE,LIST_2W,mismatch,1,BlueTree_1.jpg,600
27,RJDNW,NOTE,LIST_1W,mismatch,3,GreenPlane_3.jpg,500
28,XKQ,HOUSE,LIST_1W,match,0,BrownHouse_3.jpg,400
29,PLANE,KEY,LIST_2W,mismatch,3,GreenSquare_2.jpg,400
30,CUP,PLANE,LIST_2W,mismatch,2,BlueCross_2.jpg,300
31,MTPV,BOW,LIST_1W,match,0,BrownBow_3.jpg,300
32,ZBXLV,PLANE,LIST_1W,match,0,BrownPlane_3.jpg,200
33,PLANE,BAG,LIST_2W,match,0,BlackBag_3.jpg,300
34,HOUSE,BOAT,LIST_2W,mismatch,2,BrownTree_2.jpg,200
35,RJDNW,TREE,LIST_1W,match,0,PinkTree_1.jpg,300
36,HOUSE,FORK,LIST_2W,match,0,RedHouse_3.jpg,400
37,RJDNW,SQUARE,LIST_1W,mismatch,1,BlueBow_3.jpg,200
38,RJDNW,FORK,LIST_1W,match,0,BrownFork_2.jpg,600
39,PLANE,CUP,LIST_2W,match,0,PinkCup_2.jpg,300
40,CUP,FLAG,LIST_2W,match,0,BrownFlag_1.jpg,500
41,ZBXLV,BOAT,LIST_1W,mismatch,2,BlackHeart_1.jpg,400
42,LAMP,TREE,LIST_2W,mismatch,3,BlueCane_1.jpg,300
43,BOAT,HEART,LIST_2W,match,0,BrownBoat_1.jpg,200
44,RJDNW,KEY,LIST_1W,match,0,RedKey_3.jpg,200
45,HOUSE,KEY,LIST_2W,match,0,BlackHouse_2.jpg,600
46,MTPV,BONE,LIST_1W,mismatch,2,RedPlane_3.jpg,200
47,LAMP,HAND,LIST_2W,mismatch,1,BlueFork_3.jpg,400
48,ZBXLV,BOW,LIST_1W,match,0,BlueBow_2.jpg,200
49,ZBXLV,LAMP,LIST_1W,match,0,GreenLamp_1.jpg,600
50,CROSS,BOW,LIST_2W,mismatch,3,GreenSquare_1.jpg,300
51,ZBXLV,LOCK,LIST_1W,match,0,PinkLock_3.jpg,300
52,LAMP,FORK,LIST_2W,mismatch,3,BlueLeaf_2.jpg,600
53,QXSW,BELL,LIST_1W,mismatch,3,RedLamp_2.jpg,600
54,LAMP,BELL,LIST_2W,mismatch,2,BrownStar_3.jpg,500
55,CROSS,DISC,LIST_2W,match,0,RedCross_1.jpg,600
56,RJDNW,BOW,LIST_1W,mismatch,3,BlueShoe_2.jpg,300
57,WVCNZ,CUP,LIST_1W,match,0,GreenCup_3.jpg,300
58,HOUSE,CROSS,LIST_2W,mismatch,3,GreenLock_2.jpg,400
59,XKQ,BONE,LIST_1W,match,0,BlueBone_3.jpg,400
60,HOUSE,CUP,LIST_2W,match,0,BrownHouse_1.jpg,200
61,WVCNZ,KEY,LIST_1W,mismatch,3,BlueBell_1.jpg,600
62,BOAT,CUP,LIST_2W,mismatch,1,GreenBag_2.jpg,300
63,PLANE,HOUSE,LIST_2W,match,0,BrownPlane_3.jpg,600
64,CROSS,LEAF,LIST_2W,mismatch,2,PinkLamp_3.jpg,500
65,WVCNZ,CAR,LIST_1W,match,0,BlackCar_2.jpg,500
66,ZBXLV,BAG,LIST_1W,match,0,GreenBag_3.jpg,600
