,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,PINK,BONE,COMP_2W,mismatch,1,PinkNote_1.jpg,500
1,PINK,BELL,COMP_2W,match,0,PinkBell_2.jpg,600
2,MTPV,BONE,COMP_1W,mismatch,2,BlueBag_3.jpg,200
3,PINK,CANE,COMP_2W,match,0,PinkCane_1.jpg,500
4,RJDNW,BAG,COMP_1W,match,0,PinkBag_1.jpg,600
5,XKQ,KEY,COMP_1W,mismatch,2,GreenBag_3.jpg,500
6,BROWN,PLANE,COMP_2W,mismatch,1,BrownCar_1.jpg,300
7,QXSW,BONE,COMP_1W,mismatch,1,PinkPlane_1.jpg,200
8,WVCNZ,NOTE,COMP_1W,match,0,BlackNote_3.jpg,500
9,RJDNW,TREE,COMP_1W,match,0,GreenTree_2.jpg,600
10,BLACK,FORK,COMP_2W,match,0,BlackFork_1.jpg,200
11,BLUE,SQUARE,COMP_2W,mismatch,3,BrownCross_1.jpg,300
12,XKQ,HOUSE,COMP_1W,mismatch,3,PinkTree_2.jpg,600
13,RED,LEAF,COMP_2W,match,0,RedLeaf_2.jpg,400
14,WVCNZ,LAMP,COMP_1W,mismatch,1,BlackLeaf_1.jpg,600
15,WVCNZ,HOUSE,COMP_1W,match,0,BlackHouse_2.jpg,600
16,BLACK,BAG,COMP_2W,match,0,BlackBag_1.jpg,300
17,XKQ,SQUARE,COMP_1W,match,0,PinkSquare_3.jpg,200
18,QXSW,CUP,COMP_1W,match,0,RedCup_2.jpg,200
19,GREEN,HEART,COMP_2W,mismatch,2,PinkHeart_1.jpg,400
20,QXSW,TREE,COMP_1W,match,0,BrownTree_1.jpg,500
21,ZBXLV,HOUSE,COMP_1W,mismatch,3,BlackLeaf_2.jpg,400
22,XKQ,CROSS,COMP_1W,mismatch,3,BlueBow_3.jpg,300
23,BLUE,CUP,COMP_2W,mismatch,2,BlueCup_3.jpg,600
24,BLACK,STAR,COMP_2W,match,0,BlackStar_3.jpg,400
25,PINK,HEART,COMP_2W,mismatch,3,BlueCross_1.jpg,600
26,XKQ,STAR,COMP_1W,match,0,BlueStar_2.jpg,300
27,BLACK,LOCK,COMP_2W,match,0,BlackLock_3.jpg,500
28,RED,BOW,COMP_2W,mismatch,2,GreenBow_2.jpg,300
29,GREEN,CAR,COMP_2W,mismatch,3,BrownDisc_2.jpg,200
30,WVCNZ,BONE,COMP_1W,match,0,BrownBone_3.jpg,300
31,BLUE,TREE,COMP_2W,match,0,BlueTree_1.jpg,500
32,RED,BOAT,COMP_2W,match,0,RedBoat_2.jpg,300
33,RED,HOUSE,COMP_2W,mismatch,3,PinkHeart_1.jpg,400
34,ZBXLV,KEY,COMP_1W,match,0,RedKey_2.jpg,300
