,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,PINK,NOTE,COMP_2W,mismatch,1,PinkBell_2.jpg,600
1,BLACK,BELL,COMP_2W,match,0,BlackBell_2.jpg,300
2,GREEN,BAG,COMP_2W,mismatch,2,RedBag_1.jpg,200
3,MTPV,CUP,COMP_1W,match,0,BrownCup_3.jpg,400
4,WVCNZ,CROSS,COMP_1W,mismatch,3,GreenShoe_1.jpg,600
5,BLACK,CUP,COMP_2W,match,0,BlackCup_3.jpg,300
6,RED,CROSS,COMP_2W,match,0,RedCross_1.jpg,200
7,QXSW,CAR,COMP_1W,mismatch,1,BrownHand_2.jpg,200
8,RED,KEY,COMP_2W,mismatch,2,RedKey_1.jpg,600
9,QXSW,SHOE,COMP_1W,match,0,PinkShoe_1.jpg,400
10,BROWN,BONE,COMP_2W,match,0,BrownBone_2.jpg,200
11,WVCNZ,BAG,COMP_1W,match,0,BlueBag_1.jpg,300
12,QXSW,SQUARE,COMP_1W,mismatch,1,BlueStar_2.jpg,400
13,GREEN,NOTE,COMP_2W,match,0,GreenNote_1.jpg,400
14,GREEN,BELL,COMP_2W,match,0,GreenBell_2.jpg,300
15,RJDNW,PLANE,COMP_1W,mismatch,2,BrownLock_3.jpg,400
16,RJDNW,HEART,COMP_1W,match,0,BrownHeart_3.jpg,500
17,GREEN,FLAG,COMP_2W,mismatch,3,BlackBow_1.jpg,500
18,MTPV,SQUARE,COMP_1W,mismatch,3,BlackNote_3.jpg,600
19,BLUE,STAR,COMP_2W,match,0,BlueStar_3.jpg,500
20,QXSW,LOCK,COMP_1W,match,0,BlackLock_1.jpg,500
21,RED,FLAG,COMP_2W,match,0,RedFlag_1.jpg,400
22,BLACK,BONE,COMP_2W,mismatch,1,BlackBoat_2.jpg,300
23,QXSW,STAR,COMP_1W,match,0,RedStar_1.jpg,400
24,BLACK,PLANE,COMP_2W,mismatch,2,BrownPlane_3.jpg,200
25,BLUE,SHOE,COMP_2W,match,0,BlueShoe_1.jpg,200
