TrialOnset,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI,Accuracy,RT,Dur,Response
194.560432373022,RJDNW,FORK,COMP_1W,match,0,BrownFork_3.jpg,300,1,0.689685049001127,4.32770838498254,match
198.860432373011,BROWN,TREE,COMP_2W,match,0,BrownTree_1.jpg,600,0,0,4.62527248298284,
203.460432373016,BROWN,FLAG,COMP_2W,match,0,BrownFlag_3.jpg,400,0,0,4.42116416199133,
207.860432373011,XKQ,BELL,COMP_1W,match,0,PinkBell_3.jpg,500,0,0,4.50986320499214,
212.360432373011,BROWN,CANE,COMP_2W,mismatch,3,GreenCar_1.jpg,500,0,0,4.52175664299284,
