TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
4.02157432900276,35,Low,COFFEE,FOOD,Can you eat or drink it?,1,1,4000,1,1.03002492200176,1
17.0436624600006,36,High,APPLE,FOOD,Can you find it in the wild?,2,1,4000,1,1.38517831900026,1
30.0567934140017,91,Low,STONE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,0,2.53170870300164,0
43.0589988680003,80,High,HOTEL,OTHER,Is it alive?,0,0,4000,1,0.923014887001045,0
56.0450559730016,39,Low,CRYSTAL,NATURE INANIMATE,Can you hold it?,4,1,4000,1,0.824383911000041,1
69.0414646050012,83,Low,ROOM,OTHER,Did humans create it?,5,1,4000,1,1.04108977899887,1
82.0460777860026,87,Low,INSTITUTION,OTHER,Is it alive?,0,0,4000,1,1.14541635299975,0
95.0368384460016,4,High,CAT,ANIMAL,Does it float in water?,7,1,4000,1,1.30713356900014,1
108.045773062,32,High,MOTHER,FAMILY,Can you hold it?,4,0,4000,1,1.53592295600174,0
121.054762651002,44,High,SALT,FOOD,Can you eat or drink it?,1,1,4000,1,0.812517927999579,1
134.045012015002,59,Low,LIMB,HUMAN PART,Does it make sounds?,6,0,4000,0,1.30136410100022,1
147.044518357001,3,Low,BEAR,ANIMAL,Does it float in water?,7,1,4000,0,1.37754373099961,0
160.045620073,67,Low,LIQUID,NATURE INANIMATE,Did humans create it?,5,0,4000,1,1.32562887799941,0
173.049021323,56,High,GINGER,FOOD,Can you eat or drink it?,1,1,4000,1,0.910476756998833,1
186.047200264002,24,High,SILK,ARTIFACTS,Does it make sounds?,6,0,4000,1,1.80705074799698,0
199.049516579002,68,High,OXYGEN,NATURE INANIMATE,Is it alive?,0,0,4000,1,1.50516965399947,0
212.050282618002,19,Low,JEWEL,ARTIFACTS,Can you hold it?,4,1,4000,0,0,
225.049390812001,40,High,BEEF,FOOD,Can you eat or drink it?,1,1,4000,1,2.23233837900261,1
238.050343507002,60,High,FEMUR,HUMAN PART,Does it make sounds?,6,0,4000,1,1.63366538799892,0
251.048397461003,88,High,COMEDY,OTHER,Did humans create it?,5,1,4000,1,1.02421378900181,1
264.046282774001,15,Low,FURNITURE,ARTIFACTS,Does it float in water?,7,0,4000,1,1.61234467499889,0
277.0465028,47,Low,CROP,FOOD,Can you eat or drink it?,1,1,4000,1,0.806561077999504,1
290.04844663,75,Low,MUSICIAN,OCCUPATION,Does it float in water?,7,1,4000,0,1.17372171899842,0
303.050489719,48,High,DONUT,FOOD,Did humans create it?,5,1,4000,1,1.59799881200161,1
316.042762532001,23,Low,WEAPON,ARTIFACTS,Can you find it in the wild?,2,0,4000,1,1.30912852399706,0
329.050523843001,12,High,TURKEY,ANIMAL,Does it float in water?,7,1,4000,0,2.75053920000209,0
342.049091597,20,High,REFRIGERATOR,ARTIFACTS,Does it float in water?,7,0,4000,1,1.69054689600307,0
355.051371046,16,High,FORK,ARTIFACTS,Does it make sounds?,6,0,4000,1,1.81239684599859,0
368.043007462002,51,Low,OFFSPRING,FAMILY,Is it alive?,0,1,4000,1,0.899764327001321,1
381.049034396001,27,Low,MAKEUP,ARTIFACTS,Can you hold it?,4,1,4000,1,1.8117076540002,1
394.049311887,11,Low,MARSUPIAL,ANIMAL,Can you wear it?,3,0,4000,1,1.410249544002,0
407.049658599,76,High,QUEEN,OCCUPATION,Can you wear it?,3,0,4000,1,0.927874994999002,0
420.064099692001,28,High,SNEAKERS,CLOTHES+ACCESS,Can you wear it?,3,1,4000,1,0.680229869998584,1
433.057310967,72,High,SENATOR,OCCUPATION,Can you wear it?,3,0,4000,1,1.00729251300072,0
446.048544785001,31,Low,PANTS,CLOTHES+ACCESS,Is it alive?,0,0,4000,0,1.35860257599779,1
459.052428310002,52,High,CAKE,FOOD,Did humans create it?,5,1,4000,1,0.912752930998977,1
472.045720246002,64,High,MAPLE,NATURE INANIMATE,Can you find it in the wild?,2,1,4000,1,1.39033744100016,1
485.049727924001,7,Low,SNAKE,ANIMAL,Did humans create it?,5,0,4000,1,1.00398666999899,0
498.057550525002,8,High,GORILLA,ANIMAL,Can you find it in the wild?,2,1,4000,1,0.961876933000894,1
511.044260249,95,Low,MEDIA,SPORT+LEISURE,Can you find it in the wild?,2,0,4000,1,1.02419298300083,0
524.047622756003,79,Low,MATH,OTHER,Does it make sounds?,6,0,4000,1,0.907645335002599,0
537.045968559003,84,High,STROKE,OTHER,Can you hold it?,4,0,4000,0,0,
550.049551689001,63,Low,FLOWER,NATURE INANIMATE,Can you wear it?,3,1,4000,1,0.353711318999558,1
563.062950325002,92,High,BASEBALL,SPORT+LEISURE,Can you hold it?,4,0,4000,0,1.28820320900195,1
576.038344283003,96,High,BONGO,SPORT+LEISURE,Is it alive?,0,0,4000,1,0.935340654999891,0
589.050230150002,71,Low,SCIENTIST,OCCUPATION,Can you wear it?,3,0,4000,0,1.58076239599905,1
602.065377951003,43,Low,BREAD,FOOD,Can you eat or drink it?,1,1,4000,1,0.870204187001946,1
615.049642779002,55,Low,CHEESE,FOOD,Does it make sounds?,6,0,4000,1,0.923030139998446,0
