,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_2W,GreenFork_1.jpg,match,0,GREEN,FORK
2,COMP_2W,BlueHand_3.jpg,mismatch,3,PINK,LEAF
3,COMP_2W,BrownCar_3.jpg,mismatch,3,GREEN,CROSS
4,COMP_2W,GreenDisc_2.jpg,mismatch,3,RED,SQUARE
5,COMP_2W,BlueCross_2.jpg,match,0,BLUE,CROSS
6,LIST_1W,RedFlag_2.jpg,mismatch,2,WVCNZ,KEY
7,LIST_1W,PinkHouse_2.jpg,mismatch,1,ZBXLV,KEY
8,LIST_1W,RedBone_3.jpg,mismatch,2,XKQ,BAG
9,LIST_1W,GreenHouse_3.jpg,match,0,RJDNW,HOUSE
10,LIST_1W,BrownHeart_2.jpg,match,0,XKQ,HEART
11,LIST_2W,GreenKey_2.jpg,mismatch,1,HOUSE,BOAT
12,LIST_2W,BrownLeaf_1.jpg,mismatch,1,CUP,NOTE
13,LIST_2W,GreenHouse_2.jpg,mismatch,1,CUP,HAND
14,LIST_2W,BlackBoat_3.jpg,match,0,BOAT,LOCK
15,LIST_2W,BlackPlane_1.jpg,match,0,PLANE,LEAF
16,COMP_1W,PinkKey_1.jpg,mismatch,3,QXSW,HEART
17,COMP_1W,GreenBoat_2.jpg,mismatch,3,MTPV,PLANE
18,COMP_1W,BlackHouse_1.jpg,match,0,WVCNZ,HOUSE
19,COMP_1W,RedHeart_1.jpg,mismatch,1,XKQ,BOAT
20,COMP_1W,BluePlane_1.jpg,match,0,WVCNZ,PLANE
21,FIX,NA,NA,NA,NA,NA
22,LIST_1W,PinkCup_3.jpg,match,0,MTPV,CUP
23,LIST_1W,GreenBow_2.jpg,mismatch,2,ZBXLV,BELL
24,LIST_1W,RedBow_3.jpg,match,0,QXSW,BOW
25,LIST_1W,RedTree_3.jpg,mismatch,1,XKQ,NOTE
26,LIST_1W,GreenCar_1.jpg,mismatch,3,MTPV,BOW
27,COMP_1W,GreenHand_2.jpg,mismatch,2,RJDNW,BAG
28,COMP_1W,RedLock_3.jpg,match,0,MTPV,LOCK
29,COMP_1W,BlueCar_3.jpg,match,0,QXSW,CAR
30,COMP_1W,BlackDisc_2.jpg,match,0,QXSW,DISC
31,COMP_1W,PinkBell_3.jpg,match,0,XKQ,BELL
32,COMP_2W,GreenCup_2.jpg,mismatch,2,BROWN,CUP
33,COMP_2W,GreenNote_2.jpg,mismatch,3,BROWN,FLAG
34,COMP_2W,BrownBell_1.jpg,mismatch,1,BROWN,DISC
35,COMP_2W,BlueCross_2.jpg,match,0,BLUE,CROSS
36,COMP_2W,PinkTree_2.jpg,match,0,PINK,TREE
37,LIST_2W,PinkBow_3.jpg,mismatch,1,CROSS,LAMP
38,LIST_2W,PinkHouse_3.jpg,match,0,HOUSE,BONE
39,LIST_2W,PinkHeart_3.jpg,match,0,HOUSE,HEART
40,LIST_2W,GreenHouse_2.jpg,mismatch,1,CUP,HAND
41,LIST_2W,BlueSquare_3.jpg,mismatch,1,HOUSE,CUP
42,FIX,NA,NA,NA,NA,NA
43,LIST_2W,PinkCup_2.jpg,match,0,CUP,SHOE
44,LIST_2W,BrownCup_2.jpg,match,0,CUP,HEART
45,LIST_2W,BrownBoat_3.jpg,match,0,BOAT,FLAG
46,LIST_2W,GreenFlag_2.jpg,match,0,CUP,FLAG
47,LIST_2W,PinkLock_1.jpg,mismatch,2,PLANE,BELL
48,COMP_2W,GreenHouse_2.jpg,match,0,GREEN,HOUSE
49,COMP_2W,PinkLeaf_3.jpg,mismatch,2,BLACK,LEAF
50,COMP_2W,GreenCup_2.jpg,mismatch,2,BROWN,CUP
51,COMP_2W,BlueStar_2.jpg,match,0,BLUE,STAR
52,COMP_2W,BrownCar_3.jpg,mismatch,2,BROWN,CAR
53,COMP_1W,BlackLock_2.jpg,match,0,WVCNZ,LOCK
54,COMP_1W,PinkCane_3.jpg,mismatch,1,QXSW,NOTE
55,COMP_1W,BrownLamp_2.jpg,mismatch,3,QXSW,FORK
56,COMP_1W,BlueLeaf_3.jpg,match,0,MTPV,LEAF
57,COMP_1W,BlackLeaf_1.jpg,mismatch,1,WVCNZ,DISC
58,LIST_1W,RedPlane_2.jpg,mismatch,2,ZBXLV,BAG
59,LIST_1W,RedNote_3.jpg,match,0,RJDNW,NOTE
60,LIST_1W,BrownFlag_3.jpg,match,0,QXSW,FLAG
61,LIST_1W,PinkHand_3.jpg,match,0,MTPV,HAND
62,LIST_1W,GreenHeart_2.jpg,match,0,RJDNW,HEART
63,FIX,NA,NA,NA,NA,NA
64,COMP_1W,BlackCup_2.jpg,mismatch,1,RJDNW,LAMP
65,COMP_1W,PinkBone_2.jpg,match,0,MTPV,BONE
66,COMP_1W,RedCar_2.jpg,match,0,WVCNZ,CAR
67,COMP_1W,RedPlane_3.jpg,match,0,XKQ,PLANE
68,COMP_1W,RedTree_1.jpg,mismatch,3,MTPV,BOW
69,LIST_2W,PinkBag_3.jpg,mismatch,2,LAMP,SHOE
70,LIST_2W,GreenSquare_2.jpg,mismatch,3,BOAT,BOW
71,LIST_2W,RedCup_3.jpg,match,0,CUP,PLANE
72,LIST_2W,RedLock_1.jpg,mismatch,3,BOAT,LAMP
73,LIST_2W,RedLamp_2.jpg,match,0,LAMP,TREE
74,LIST_1W,PinkTree_1.jpg,mismatch,1,ZBXLV,STAR
75,LIST_1W,RedLeaf_1.jpg,mismatch,1,WVCNZ,LAMP
76,LIST_1W,BrownBoat_3.jpg,match,0,ZBXLV,BOAT
77,LIST_1W,BrownKey_3.jpg,mismatch,3,RJDNW,SHOE
78,LIST_1W,GreenCane_1.jpg,match,0,WVCNZ,CANE
79,COMP_2W,PinkLeaf_3.jpg,mismatch,2,BLACK,LEAF
80,COMP_2W,BrownBag_2.jpg,mismatch,3,PINK,HEART
81,COMP_2W,RedShoe_1.jpg,mismatch,1,RED,NOTE
82,COMP_2W,GreenFork_1.jpg,match,0,GREEN,FORK
83,COMP_2W,BlackLock_1.jpg,match,0,BLACK,LOCK
84,FIX,NA,NA,NA,NA,NA
