,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_1W,BrownBone_2.jpg,match,0,WVCNZ,BONE
2,COMP_1W,BlackLock_2.jpg,mismatch,3,RJDNW,CROSS
3,COMP_1W,PinkCane_2.jpg,mismatch,1,WVCNZ,FORK
4,COMP_1W,PinkBow_2.jpg,mismatch,2,RJDNW,FORK
5,COMP_1W,BlackBoat_2.jpg,match,0,WVCNZ,BOAT
6,COMP_2W,PinkFlag_1.jpg,mismatch,2,BLACK,FLAG
7,COMP_2W,BrownBell_3.jpg,mismatch,2,PINK,BELL
8,COMP_2W,BrownBow_1.jpg,match,0,BROWN,BOW
9,COMP_2W,BrownSquare_2.jpg,mismatch,2,PINK,SQUARE
10,COMP_2W,BrownStar_1.jpg,match,0,BROWN,STAR
11,LIST_1W,BrownLeaf_2.jpg,mismatch,1,ZBXLV,LAMP
12,LIST_1W,BlackFork_2.jpg,mismatch,3,ZBXLV,BOW
13,LIST_1W,GreenSquare_2.jpg,match,0,RJDNW,SQUARE
14,LIST_1W,BlackBoat_2.jpg,mismatch,1,WVCNZ,CAR
15,LIST_1W,BlueBoat_1.jpg,match,0,WVCNZ,BOAT
16,LIST_2W,RedNote_2.jpg,mismatch,2,CROSS,PLANE
17,LIST_2W,GreenBoat_3.jpg,match,0,BOAT,KEY
18,LIST_2W,BrownLamp_2.jpg,mismatch,1,CROSS,HEART
19,LIST_2W,BlueNote_1.jpg,mismatch,1,HOUSE,TREE
20,LIST_2W,RedBow_3.jpg,match,0,HOUSE,BOW
21,FIX,NA,NA,NA,NA,NA
22,COMP_2W,PinkBone_3.jpg,match,0,PINK,BONE
23,COMP_2W,GreenSquare_2.jpg,match,0,GREEN,SQUARE
24,COMP_2W,BrownSquare_2.jpg,mismatch,2,PINK,SQUARE
25,COMP_2W,PinkBell_1.jpg,mismatch,3,BROWN,DISC
26,COMP_2W,PinkCar_1.jpg,mismatch,2,BLACK,CAR
27,LIST_2W,RedCane_3.jpg,mismatch,3,CROSS,HOUSE
28,LIST_2W,BlueLamp_2.jpg,match,0,LAMP,BOW
29,LIST_2W,GreenFork_1.jpg,mismatch,3,CUP,HOUSE
30,LIST_2W,GreenCross_1.jpg,match,0,CROSS,CUP
31,LIST_2W,PinkBoat_2.jpg,match,0,BOAT,LEAF
32,COMP_1W,BrownBag_1.jpg,match,0,WVCNZ,BAG
33,COMP_1W,BlackFlag_2.jpg,mismatch,1,QXSW,HEART
34,COMP_1W,GreenLamp_1.jpg,mismatch,3,MTPV,BONE
35,COMP_1W,BrownPlane_1.jpg,match,0,MTPV,PLANE
36,COMP_1W,BlackLock_3.jpg,match,0,ZBXLV,LOCK
