,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,COMP_2W,PinkHand_3.jpg,mismatch,3,PINK,SHOE
2,COMP_2W,PinkStar_2.jpg,match,0,PINK,STAR
3,COMP_2W,GreenPlane_1.jpg,match,0,GREEN,PLANE
4,COMP_2W,BrownTree_2.jpg,match,0,BROWN,TREE
5,COMP_2W,BlueHand_3.jpg,mismatch,2,BROWN,HAND
6,LIST_1W,RedDisc_3.jpg,match,0,RJDNW,DISC
7,LIST_1W,GreenStar_1.jpg,mismatch,1,RJDNW,KEY
8,LIST_1W,BlackBell_1.jpg,mismatch,2,XKQ,FLAG
9,LIST_1W,BrownLock_3.jpg,match,0,WVCNZ,LOCK
10,LIST_1W,GreenHand_2.jpg,match,0,ZBXLV,HAND
11,LIST_2W,BlueLeaf_1.jpg,mismatch,1,PLANE,KEY
12,LIST_2W,GreenBoat_2.jpg,match,0,BOAT,CAR
13,LIST_2W,RedHouse_1.jpg,match,0,HOUSE,BOW
14,LIST_2W,PinkCross_2.jpg,mismatch,3,CUP,FORK
15,LIST_2W,BlackCar_2.jpg,match,0,HOUSE,CAR
16,COMP_1W,GreenHeart_2.jpg,mismatch,3,XKQ,KEY
17,COMP_1W,GreenFork_2.jpg,match,0,RJDNW,FORK
18,COMP_1W,BrownSquare_2.jpg,match,0,ZBXLV,SQUARE
19,COMP_1W,GreenCane_3.jpg,mismatch,1,WVCNZ,LAMP
20,COMP_1W,BlackKey_3.jpg,match,0,MTPV,KEY
21,FIX,NA,NA,NA,NA,NA
22,LIST_1W,PinkCross_3.jpg,match,0,MTPV,CROSS
23,LIST_1W,GreenCross_2.jpg,mismatch,2,XKQ,BAG
24,LIST_1W,BlackShoe_2.jpg,mismatch,3,XKQ,KEY
25,LIST_1W,GreenCane_1.jpg,match,0,ZBXLV,CANE
26,LIST_1W,BlueHeart_1.jpg,mismatch,1,ZBXLV,BAG
27,COMP_1W,BlueBag_2.jpg,mismatch,3,MTPV,NOTE
28,COMP_1W,BrownNote_2.jpg,match,0,RJDNW,NOTE
29,COMP_1W,RedBow_3.jpg,mismatch,1,ZBXLV,BONE
30,COMP_1W,BlackCane_2.jpg,match,0,QXSW,CANE
