,Condition,Image,Match,Mismatch_Type,Word_1st,Word_2nd
0,FIX,NA,NA,NA,NA,NA
1,LIST_1W,BlueBoat_1.jpg,mismatch,2,MTPV,FORK
2,LIST_1W,PinkDisc_3.jpg,match,0,XKQ,DISC
3,LIST_1W,BlackBone_3.jpg,mismatch,2,ZBXLV,CANE
4,LIST_1W,GreenTree_3.jpg,match,0,QXSW,TREE
5,LIST_1W,PinkLock_2.jpg,mismatch,3,QXSW,FORK
6,LIST_2W,GreenHouse_2.jpg,match,0,HOUSE,LOCK
7,LIST_2W,PinkFlag_3.jpg,mismatch,2,CROSS,DISC
8,LIST_2W,GreenLamp_3.jpg,match,0,LAMP,CAR
9,LIST_2W,PinkHeart_1.jpg,mismatch,2,HOUSE,KEY
10,LIST_2W,GreenFlag_3.jpg,mismatch,2,BOAT,LAMP
11,COMP_1W,BrownFlag_2.jpg,mismatch,2,ZBXLV,KEY
12,COMP_1W,RedLock_2.jpg,match,0,RJDNW,LOCK
13,COMP_1W,GreenFlag_3.jpg,mismatch,3,XKQ,HEART
14,COMP_1W,GreenFlag_1.jpg,mismatch,3,QXSW,HOUSE
15,COMP_1W,RedCane_1.jpg,match,0,MTPV,CANE
16,COMP_2W,GreenHand_3.jpg,match,0,GREEN,HAND
17,COMP_2W,GreenBow_3.jpg,mismatch,2,RED,BOW
18,COMP_2W,BlueLamp_2.jpg,mismatch,1,BLUE,BONE
19,COMP_2W,PinkLamp_1.jpg,mismatch,1,PINK,CROSS
20,COMP_2W,BlueTree_1.jpg,match,0,BLUE,TREE
21,FIX,NA,NA,NA,NA,NA
22,LIST_2W,BlackHouse_3.jpg,match,0,CUP,HOUSE
23,LIST_2W,RedHeart_1.jpg,mismatch,3,BOAT,HAND
24,LIST_2W,BlackFork_2.jpg,mismatch,1,PLANE,SQUARE
25,LIST_2W,GreenShoe_3.jpg,match,0,LAMP,SHOE
26,LIST_2W,BrownBell_1.jpg,mismatch,1,PLANE,LOCK
27,COMP_2W,BlueHeart_1.jpg,match,0,BLUE,HEART
28,COMP_2W,BrownBow_2.jpg,match,0,BROWN,BOW
29,COMP_2W,RedHouse_3.jpg,match,0,RED,HOUSE
30,COMP_2W,PinkFlag_1.jpg,mismatch,2,PINK,FLAG
31,COMP_2W,BrownHand_1.jpg,mismatch,3,RED,HEART
32,LIST_1W,RedBow_3.jpg,mismatch,3,MTPV,HOUSE
33,LIST_1W,GreenTree_3.jpg,match,0,QXSW,TREE
34,LIST_1W,BlueHeart_1.jpg,match,0,MTPV,HEART
35,LIST_1W,PinkCup_3.jpg,mismatch,1,XKQ,LEAF
36,LIST_1W,GreenStar_1.jpg,mismatch,1,XKQ,PLANE
37,COMP_1W,BlackHouse_2.jpg,match,0,XKQ,HOUSE
38,COMP_1W,GreenFlag_2.jpg,mismatch,3,QXSW,DISC
39,COMP_1W,BlueSquare_1.jpg,mismatch,3,RJDNW,BELL
40,COMP_1W,BrownCross_2.jpg,match,0,MTPV,CROSS
41,COMP_1W,GreenFlag_3.jpg,mismatch,3,XKQ,HEART
42,FIX,NA,NA,NA,NA,NA
43,COMP_1W,RedHouse_3.jpg,mismatch,2,MTPV,LOCK
44,COMP_1W,GreenBoat_2.jpg,mismatch,2,MTPV,LAMP
45,COMP_1W,PinkCross_1.jpg,match,0,XKQ,CROSS
46,COMP_1W,BrownPlane_2.jpg,match,0,ZBXLV,PLANE
47,COMP_1W,PinkFlag_1.jpg,mismatch,1,ZBXLV,CANE
48,LIST_1W,GreenTree_3.jpg,match,0,QXSW,TREE
49,LIST_1W,BlackKey_2.jpg,mismatch,1,WVCNZ,BOAT
50,LIST_1W,BlueSquare_1.jpg,match,0,XKQ,SQUARE
51,LIST_1W,BrownHand_2.jpg,mismatch,3,QXSW,STAR
52,LIST_1W,RedBoat_2.jpg,mismatch,1,ZBXLV,CUP
53,COMP_2W,BlackSquare_3.jpg,mismatch,3,BROWN,BELL
54,COMP_2W,GreenHouse_1.jpg,match,0,GREEN,HOUSE
