,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,ZBXLV,BLACK,ZBXLV,CROSS,DISC,match,0,1,BrownDisc_3.jpg,BlackDisc_3.jpg,BlueDisc_2.jpg,RedCross_3.jpg
1,WVCNZ,GREEN,WVCNZ,PLANE,DISC,match,0,2,RedDisc_2.jpg,GreenDisc_1.jpg,BlackDisc_1.jpg,BrownDisc_3.jpg
2,RJDNW,BROWN,RJDNW,HOUSE,DISC,mismatch,3,0,GreenCane_3.jpg,BlackBoat_3.jpg,BlackBow_1.jpg,BlackShoe_3.jpg
3,XKQ,RED,XKQ,CUP,DISC,mismatch,1,0,BlueCar_1.jpg,RedSquare_2.jpg,GreenHouse_3.jpg,GreenTree_2.jpg
4,MTPV,BLUE,MTPV,BOAT,PLANE,match,0,1,BrownPlane_3.jpg,BluePlane_3.jpg,BlackPlane_1.jpg,GreenBoat_2.jpg
5,ZBXLV,BROWN,RJDNW,HOUSE,PLANE,match,0,2,BluePlane_1.jpg,BrownPlane_2.jpg,GreenPlane_2.jpg,BrownPlane_3.jpg
6,XKQ,RED,XKQ,CUP,PLANE,mismatch,1,0,BrownCross_3.jpg,RedHouse_3.jpg,BrownFlag_2.jpg,BlueShoe_3.jpg
7,RJDNW,GREEN,ZBXLV,CROSS,PLANE,mismatch,2,0,GreenKey_1.jpg,BluePlane_2.jpg,BlackBoat_3.jpg,RedBoat_2.jpg
8,ZBXLV,GREEN,WVCNZ,PLANE,BAG,match,0,1,RedBag_2.jpg,GreenBag_2.jpg,GreenBag_1.jpg,BrownPlane_3.jpg
9,QXSW,PINK,MTPV,BOAT,BAG,match,0,2,BlueBag_3.jpg,PinkBag_1.jpg,PinkBag_2.jpg,BlueBag_1.jpg
10,MTPV,BLUE,QXSW,LAMP,BAG,mismatch,3,0,BrownShoe_3.jpg,GreenFork_3.jpg,BlackCar_2.jpg,BlackHeart_2.jpg
11,WVCNZ,BROWN,ZBXLV,CROSS,BAG,mismatch,3,0,BlueFork_2.jpg,PinkLock_1.jpg,BlackCross_2.jpg,RedNote_1.jpg
12,QXSW,BLUE,QXSW,BOAT,LOCK,match,0,1,PinkLock_2.jpg,BlueLock_1.jpg,BrownLock_1.jpg,BrownBoat_3.jpg
13,ZBXLV,BROWN,RJDNW,CROSS,LOCK,match,0,2,BrownLock_2.jpg,BrownLock_1.jpg,BlackLock_1.jpg,GreenLock_3.jpg
14,RJDNW,BLACK,ZBXLV,HOUSE,LOCK,mismatch,1,0,RedShoe_1.jpg,BlackNote_3.jpg,BlackStar_2.jpg,GreenFork_2.jpg
15,MTPV,PINK,MTPV,LAMP,LOCK,mismatch,2,0,BlackCar_2.jpg,BrownLock_1.jpg,BlackCup_1.jpg,BrownStar_1.jpg
16,QXSW,BLUE,QXSW,BOAT,CANE,match,0,1,RedCane_2.jpg,BlueCane_2.jpg,BlueCane_1.jpg,BlueBoat_1.jpg
17,MTPV,PINK,MTPV,LAMP,CANE,match,0,2,PinkCane_3.jpg,PinkCane_3.jpg,RedCane_2.jpg,BrownCane_1.jpg
