,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,WVCNZ,LAMP,COMP_1W,mismatch,2,BlackPlane_3.jpg,600
1,QXSW,BONE,COMP_1W,mismatch,2,GreenHouse_1.jpg,600
2,ZBXLV,KEY,COMP_1W,match,0,BlackKey_1.jpg,500
3,BLUE,HOUSE,COMP_2W,match,0,BlueHouse_2.jpg,300
4,WVCNZ,PLANE,COMP_1W,mismatch,3,GreenBone_2.jpg,200
5,PINK,CUP,COMP_2W,mismatch,3,PinkDisc_2.jpg,200
6,BROWN,LAMP,COMP_2W,match,0,BrownLamp_3.jpg,300
7,MTPV,HEART,COMP_1W,match,0,PinkHeart_1.jpg,400
8,GREEN,HOUSE,COMP_2W,mismatch,2,RedHouse_3.jpg,500
9,BROWN,SQUARE,COMP_2W,mismatch,3,BrownLeaf_1.jpg,400
10,XKQ,KEY,COMP_1W,mismatch,1,BlackSquare_2.jpg,500
11,BLACK,BOW,COMP_2W,mismatch,1,BlackBone_3.jpg,300
12,BROWN,HAND,COMP_2W,match,0,BrownHand_2.jpg,500
13,BLUE,HAND,COMP_2W,match,0,BlueHand_2.jpg,500
14,QXSW,CROSS,COMP_1W,match,0,BlueCross_3.jpg,200
15,BLUE,BAG,COMP_2W,mismatch,2,GreenBag_3.jpg,400
16,XKQ,FLAG,COMP_1W,mismatch,2,BrownLeaf_3.jpg,300
17,MTPV,BONE,COMP_1W,match,0,RedBone_2.jpg,600
18,GREEN,HAND,COMP_2W,mismatch,1,GreenCup_1.jpg,200
19,PINK,TREE,COMP_2W,match,0,PinkTree_2.jpg,300
20,PINK,STAR,COMP_2W,match,0,PinkStar_1.jpg,600
21,WVCNZ,LOCK,COMP_1W,match,0,BrownLock_1.jpg,400
22,BROWN,LOCK,COMP_2W,mismatch,1,BrownCar_2.jpg,400
23,BROWN,BOAT,COMP_2W,mismatch,2,GreenBoat_2.jpg,300
24,RJDNW,SQUARE,COMP_1W,mismatch,1,PinkHeart_1.jpg,300
25,XKQ,BOW,COMP_1W,match,0,RedBow_1.jpg,400
26,GREEN,SHOE,COMP_2W,mismatch,1,GreenCar_1.jpg,500
27,XKQ,FORK,COMP_1W,match,0,BrownFork_1.jpg,200
28,BLACK,NOTE,COMP_2W,mismatch,1,BlackPlane_3.jpg,400
29,QXSW,CANE,COMP_1W,mismatch,3,RedBag_3.jpg,400
30,WVCNZ,TREE,COMP_1W,match,0,BlueTree_2.jpg,400
31,RED,BONE,COMP_2W,mismatch,2,PinkBone_3.jpg,400
32,XKQ,LAMP,COMP_1W,match,0,RedLamp_1.jpg,300
33,GREEN,KEY,COMP_2W,match,0,GreenKey_2.jpg,400
34,PINK,SHOE,COMP_2W,match,0,PinkShoe_2.jpg,200
35,QXSW,FLAG,COMP_1W,mismatch,2,BlackCross_2.jpg,300
36,RJDNW,CROSS,COMP_1W,match,0,BlackCross_2.jpg,300
37,XKQ,LOCK,COMP_1W,match,0,RedLock_2.jpg,300
38,BLUE,CUP,COMP_2W,match,0,BlueCup_3.jpg,300
39,PINK,HOUSE,COMP_2W,match,0,PinkHouse_3.jpg,200
40,XKQ,BELL,COMP_1W,mismatch,2,BrownHouse_2.jpg,600
41,RJDNW,TREE,COMP_1W,mismatch,1,BlackStar_2.jpg,400
42,BLACK,LEAF,COMP_2W,mismatch,2,BrownLeaf_1.jpg,200
43,BROWN,BELL,COMP_2W,match,0,BrownBell_1.jpg,600
44,XKQ,NOTE,COMP_1W,match,0,BlackNote_1.jpg,500
45,RJDNW,CUP,COMP_1W,mismatch,1,BluePlane_3.jpg,400
46,BLACK,FORK,COMP_2W,match,0,BlackFork_1.jpg,200
47,RJDNW,CANE,COMP_1W,match,0,BlueCane_2.jpg,500
48,BLUE,LEAF,COMP_2W,mismatch,3,GreenStar_3.jpg,600
49,BLUE,FLAG,COMP_2W,match,0,BlueFlag_2.jpg,600
50,RED,STAR,COMP_2W,mismatch,3,BlackLock_3.jpg,300
51,ZBXLV,PLANE,COMP_1W,mismatch,3,BrownCar_3.jpg,500
52,MTPV,LAMP,COMP_1W,mismatch,3,RedSquare_2.jpg,600
53,WVCNZ,BAG,COMP_1W,match,0,BrownBag_1.jpg,600
