,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
0,QXSW,CUP,LIST_1W,match,0,BlueCup_1.jpg,200
1,CROSS,LOCK,LIST_2W,match,0,GreenLock_2.jpg,400
2,RJDNW,KEY,LIST_1W,mismatch,3,RedBow_1.jpg,500
3,PLANE,BOAT,LIST_2W,mismatch,2,PinkKey_2.jpg,600
4,XKQ,HEART,LIST_1W,match,0,BlueHeart_1.jpg,600
5,LAMP,DISC,LIST_2W,match,0,BlackLamp_2.jpg,300
6,BOAT,BELL,LIST_2W,match,0,RedBoat_2.jpg,200
7,MTPV,CUP,LIST_1W,match,0,BlackCup_1.jpg,200
8,XKQ,BAG,LIST_1W,mismatch,1,BrownBow_2.jpg,200
9,MTPV,HAND,LIST_1W,mismatch,2,BlackTree_3.jpg,400
10,BOAT,CAR,LIST_2W,match,0,GreenBoat_1.jpg,300
11,WVCNZ,PLANE,LIST_1W,mismatch,3,BrownKey_2.jpg,300
12,WVCNZ,HAND,LIST_1W,mismatch,2,BlackKey_1.jpg,500
13,RJDNW,SQUARE,LIST_1W,match,0,GreenSquare_1.jpg,500
14,CUP,CANE,LIST_2W,match,0,RedCane_3.jpg,500
15,WVCNZ,CANE,LIST_1W,mismatch,2,BlueNote_3.jpg,600
16,CROSS,FORK,LIST_2W,mismatch,2,BlueLeaf_3.jpg,300
17,MTPV,BOAT,LIST_1W,match,0,PinkBoat_1.jpg,500
18,XKQ,DISC,LIST_1W,match,0,BrownDisc_1.jpg,500
19,PLANE,HOUSE,LIST_2W,mismatch,1,BlackFork_2.jpg,500
20,ZBXLV,SHOE,LIST_1W,match,0,BlueShoe_3.jpg,400
21,CUP,LAMP,LIST_2W,match,0,RedCup_3.jpg,500
22,XKQ,FLAG,LIST_1W,match,0,GreenFlag_2.jpg,600
23,BOAT,BAG,LIST_2W,match,0,RedBag_1.jpg,500
24,HOUSE,BONE,LIST_2W,mismatch,2,PinkHand_3.jpg,500
25,BOAT,BOW,LIST_2W,mismatch,3,GreenNote_1.jpg,200
26,MTPV,NOTE,LIST_1W,mismatch,1,BlackFlag_2.jpg,500
27,WVCNZ,SHOE,LIST_1W,match,0,BlueShoe_1.jpg,400
28,BOAT,SQUARE,LIST_2W,mismatch,3,PinkBag_1.jpg,600
29,XKQ,BELL,LIST_1W,mismatch,1,GreenSquare_1.jpg,600
30,HOUSE,CANE,LIST_2W,match,0,GreenHouse_2.jpg,400
31,WVCNZ,BELL,LIST_1W,mismatch,2,BlueHeart_3.jpg,600
32,CUP,CAR,LIST_2W,mismatch,3,BlackBell_3.jpg,400
33,RJDNW,FORK,LIST_1W,match,0,BrownFork_3.jpg,400
34,RJDNW,BONE,LIST_1W,match,0,RedBone_3.jpg,300
35,PLANE,LAMP,LIST_2W,match,0,GreenLamp_2.jpg,200
36,WVCNZ,KEY,LIST_1W,match,0,PinkKey_2.jpg,600
37,BOAT,HEART,LIST_2W,mismatch,2,GreenFlag_2.jpg,500
38,XKQ,SQUARE,LIST_1W,match,0,GreenSquare_3.jpg,300
39,HOUSE,NOTE,LIST_2W,mismatch,2,BlueDisc_1.jpg,200
40,LAMP,TREE,LIST_2W,match,0,PinkLamp_3.jpg,500
41,MTPV,LOCK,LIST_1W,match,0,GreenLock_1.jpg,300
42,LAMP,FORK,LIST_2W,mismatch,2,BlackBell_1.jpg,600
43,BOAT,FORK,LIST_2W,match,0,BlueFork_2.jpg,300
44,ZBXLV,SQUARE,LIST_1W,mismatch,1,GreenBow_2.jpg,600
45,LAMP,SHOE,LIST_2W,mismatch,3,BlueBone_3.jpg,200
46,PLANE,LEAF,LIST_2W,mismatch,1,BrownTree_2.jpg,400
47,QXSW,BONE,LIST_1W,match,0,BlueBone_2.jpg,300
48,CROSS,SHOE,LIST_2W,mismatch,3,BlueStar_2.jpg,300
49,ZBXLV,DISC,LIST_1W,mismatch,1,GreenTree_2.jpg,200
50,WVCNZ,FLAG,LIST_1W,match,0,RedFlag_2.jpg,300
51,CROSS,CUP,LIST_2W,mismatch,3,GreenShoe_3.jpg,400
52,HOUSE,PLANE,LIST_2W,match,0,BrownPlane_3.jpg,600
53,MTPV,HOUSE,LIST_1W,match,0,BlueHouse_2.jpg,200
54,LAMP,LEAF,LIST_2W,match,0,RedLeaf_1.jpg,300
55,RJDNW,CROSS,LIST_1W,mismatch,2,BrownCar_1.jpg,600
56,XKQ,LEAF,LIST_1W,match,0,GreenLeaf_3.jpg,500
57,ZBXLV,LEAF,LIST_1W,mismatch,1,BlueLamp_1.jpg,300
58,CUP,CROSS,LIST_2W,match,0,BlueCross_1.jpg,400
59,XKQ,LOCK,LIST_1W,mismatch,1,BlueBag_3.jpg,300
60,CUP,HOUSE,LIST_2W,match,0,RedCup_1.jpg,600
61,HOUSE,STAR,LIST_2W,mismatch,2,GreenBow_1.jpg,300
62,ZBXLV,LAMP,LIST_1W,mismatch,1,PinkBell_2.jpg,400
63,ZBXLV,NOTE,LIST_1W,match,0,RedNote_3.jpg,200
64,HOUSE,CAR,LIST_2W,match,0,GreenCar_2.jpg,500
65,CUP,BONE,LIST_2W,mismatch,3,PinkLamp_3.jpg,500
66,HOUSE,BOW,LIST_2W,match,0,GreenHouse_3.jpg,200
67,ZBXLV,LOCK,LIST_1W,mismatch,2,BlackBag_1.jpg,200
68,PLANE,BOW,LIST_2W,mismatch,1,BlueLock_2.jpg,200
69,MTPV,STAR,LIST_1W,match,0,BlueStar_2.jpg,500
70,CROSS,STAR,LIST_2W,mismatch,1,PinkBow_2.jpg,400
71,LAMP,BELL,LIST_2W,match,0,BlackBell_3.jpg,400
72,BOAT,CROSS,LIST_2W,match,0,BrownBoat_1.jpg,600
73,MTPV,CROSS,LIST_1W,mismatch,3,BrownStar_2.jpg,400
74,PLANE,TREE,LIST_2W,match,0,BlackTree_2.jpg,300
75,RJDNW,HAND,LIST_1W,match,0,BlackHand_3.jpg,400
76,RJDNW,TREE,LIST_1W,mismatch,1,BlueHouse_3.jpg,300
77,XKQ,PLANE,LIST_1W,mismatch,3,RedNote_3.jpg,400
78,CUP,BOAT,LIST_2W,mismatch,3,BrownBow_1.jpg,300
79,ZBXLV,BOAT,LIST_1W,match,0,BlueBoat_1.jpg,400
80,CROSS,FLAG,LIST_2W,mismatch,3,PinkStar_3.jpg,300
81,LAMP,BAG,LIST_2W,match,0,PinkLamp_3.jpg,600
82,LAMP,BOW,LIST_2W,match,0,RedBow_2.jpg,200
83,ZBXLV,CAR,LIST_1W,mismatch,3,BlackNote_3.jpg,400
84,PLANE,STAR,LIST_2W,match,0,GreenStar_1.jpg,200
85,CROSS,BAG,LIST_2W,mismatch,3,PinkSquare_3.jpg,500
86,QXSW,HAND,LIST_1W,match,0,GreenHand_1.jpg,600
87,LAMP,HOUSE,LIST_2W,mismatch,3,BlueSquare_1.jpg,600
88,QXSW,DISC,LIST_1W,mismatch,1,BrownHand_2.jpg,300
89,WVCNZ,LAMP,LIST_1W,mismatch,2,BlackKey_2.jpg,500
90,LAMP,KEY,LIST_2W,match,0,BlueLamp_3.jpg,400
91,XKQ,NOTE,LIST_1W,match,0,BrownNote_1.jpg,200
92,PLANE,CUP,LIST_2W,mismatch,1,PinkBow_1.jpg,200
93,XKQ,KEY,LIST_1W,mismatch,1,BlueSquare_3.jpg,200
94,BOAT,FLAG,LIST_2W,mismatch,2,PinkShoe_1.jpg,400
95,RJDNW,CANE,LIST_1W,mismatch,3,BlueBow_2.jpg,500
96,LAMP,HEART,LIST_2W,match,0,BlueLamp_3.jpg,600
97,PLANE,HEART,LIST_2W,mismatch,3,BlackNote_2.jpg,600
98,XKQ,TREE,LIST_1W,mismatch,2,PinkBell_1.jpg,200
99,QXSW,PLANE,LIST_1W,match,0,GreenPlane_2.jpg,600
