,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI
83,QXSW,CANE,COMP_1W,mismatch,1,BlackCup_2.jpg,400
84,BLACK,SHOE,COMP_2W,match,0,BlackShoe_2.jpg,200
85,BLUE,HOUSE,COMP_2W,mismatch,1,BlueBone_3.jpg,500
86,XKQ,LOCK,COMP_1W,match,0,BrownLock_1.jpg,600
87,BROWN,LAMP,COMP_2W,mismatch,1,BrownCar_2.jpg,600
88,QXSW,STAR,COMP_1W,mismatch,1,BlackHouse_2.jpg,300
89,RJDNW,NOTE,COMP_1W,mismatch,3,BlueTree_3.jpg,500
90,BLUE,PLANE,COMP_2W,match,0,BluePlane_3.jpg,400
91,MTPV,CUP,COMP_1W,match,0,RedCup_2.jpg,200
92,BLUE,TREE,COMP_2W,mismatch,1,BlueLamp_1.jpg,200
93,WVCNZ,LOCK,COMP_1W,mismatch,1,BlackFork_3.jpg,200
94,BLUE,SQUARE,COMP_2W,mismatch,3,GreenBow_3.jpg,400
95,WVCNZ,DISC,COMP_1W,mismatch,3,BrownLeaf_3.jpg,500
96,BLUE,CAR,COMP_2W,match,0,BlueCar_2.jpg,600
97,GREEN,FLAG,COMP_2W,mismatch,3,GreenNote_2.jpg,600
98,QXSW,DISC,COMP_1W,mismatch,1,BlackBone_1.jpg,200
99,XKQ,HAND,COMP_1W,match,0,GreenHand_1.jpg,600
