TrialOnset,PairNumber,Condition,Noun,Category,Question,QuestionIndex,Answer,ISI,Accuracy,RT,Response
0,73,High,COMEDIAN,OCCUPATION,Does it float in water?,7,1,4000,0,1.83620095199876,0
13,29,High,PURSE,CLOTHES+ACCESS,Is it alive?,0,0,4000,0,2.21470382099869,1
26,21,High,RING,ARTIFACTS,Can you hold it?,4,1,4000,1,2.43201250299899,1
39,54,Low,WINE,FOOD,Can you wear it?,3,0,4000,1,1.6984500159997,0
52,42,Low,HERB,FOOD,Is it alive?,0,0,4000,0,0,
