TrialOnset,Word_1st,Word_2nd,Condition,Match,Mismatch_Type,Image,ISI,Accuracy,RT,Dur,Response
11.0145816529985,Wvcnz,Star,COMP_1W,match,0,BlueStar_3.jpg,400,0,0,4.44574170300621,
15.4145816529926,Green,Car,COMP_2W,mismatch,3,GreenHand_3.jpg,600,0,0,4.61697090801317,
20.0145816529985,Rjdnw,Cup,COMP_1W,mismatch,3,BlackBoat_2.jpg,600,0,0,4.6147268860077,
24.6145816530043,Wvcnz,House,COMP_1W,mismatch,1,BrownHand_3.jpg,500,0,0,4.52021599900036,
29.1145816530043,Green,Key,COMP_2W,mismatch,3,BlackFork_1.jpg,300,0,0,4.33028014299634,
33.4145816530072,Pink,Cross,COMP_2W,mismatch,2,GreenCross_3.jpg,200,0,0,4.26531247700041,
37.6145816530043,Xkq,Bag,LIST_1W,match,0,RedBag_2.jpg,600,0,0,4.61759980600618,
42.2145816530101,House,Star,LIST_2W,mismatch,1,PinkLeaf_3.jpg,500,0,0,4.52282879099948,
46.7145816530101,Rjdnw,Key,LIST_1W,mismatch,3,GreenBell_2.jpg,200,0,0,4.22137228299107,
50.9145816530072,Qxsw,Cup,LIST_1W,match,0,BlackCup_3.jpg,400,0,0,4.44108846399467,
55.3145816530014,Lamp,Bone,LIST_2W,mismatch,1,RedLock_2.jpg,600,0,0,4.61561927000002,
59.9145816530072,House,Note,LIST_2W,match,0,BrownNote_3.jpg,300,0,0,4.31496975300252,
