,Consonant_COMP,Modifier_COMP,Consonant_LIST,Modifier_LIST,Head,Match,Mismatch_Type,List_Match,Image_COMP_1W,Image_COMP_2W,Image_LIST_1W,Image_LIST_2W
0,MTPV,PINK,MTPV,LAMP,DISC,match,0,1,BrownDisc_2.jpg,PinkDisc_2.jpg,RedDisc_2.jpg,PinkLamp_1.jpg
1,ZBXLV,BLACK,RJDNW,PLANE,DISC,match,0,2,BlackDisc_3.jpg,BlackDisc_1.jpg,GreenDisc_3.jpg,BlueDisc_3.jpg
2,WVCNZ,BROWN,ZBXLV,HOUSE,DISC,mismatch,3,0,BlueStar_3.jpg,GreenBoat_1.jpg,PinkTree_3.jpg,BlackCup_2.jpg
3,QXSW,BLUE,QXSW,BOAT,DISC,mismatch,1,0,PinkStar_1.jpg,BlueFlag_1.jpg,BlackHouse_3.jpg,PinkSquare_1.jpg
4,MTPV,PINK,MTPV,LAMP,PLANE,match,0,1,PinkPlane_2.jpg,PinkPlane_2.jpg,BluePlane_2.jpg,PinkLamp_1.jpg
5,XKQ,RED,XKQ,CUP,PLANE,match,0,2,PinkPlane_2.jpg,RedPlane_1.jpg,BluePlane_2.jpg,BrownPlane_1.jpg
6,ZBXLV,BROWN,RJDNW,CROSS,PLANE,mismatch,1,0,GreenKey_2.jpg,BrownCross_2.jpg,RedDisc_1.jpg,BlueHand_1.jpg
7,RJDNW,BLACK,WVCNZ,HOUSE,PLANE,mismatch,1,0,BlueLock_2.jpg,BlackBone_1.jpg,BlackLock_2.jpg,BlueLock_2.jpg
8,MTPV,PINK,QXSW,BOAT,BAG,match,0,1,GreenBag_3.jpg,PinkBag_1.jpg,BrownBag_1.jpg,BlackBoat_3.jpg
9,WVCNZ,BLACK,ZBXLV,PLANE,BAG,match,0,2,GreenBag_3.jpg,BlackBag_2.jpg,PinkBag_2.jpg,BlackBag_1.jpg
10,XKQ,RED,XKQ,CUP,BAG,mismatch,3,0,GreenTree_2.jpg,BlueSquare_1.jpg,PinkBow_3.jpg,GreenNote_1.jpg
11,ZBXLV,BROWN,WVCNZ,CROSS,BAG,mismatch,1,0,PinkLamp_2.jpg,BrownHouse_3.jpg,RedCup_2.jpg,RedSquare_1.jpg
12,RJDNW,GREEN,ZBXLV,HOUSE,LOCK,match,0,1,RedLock_1.jpg,GreenLock_1.jpg,BlueLock_1.jpg,BlackHouse_2.jpg
13,WVCNZ,BLACK,RJDNW,CROSS,LOCK,match,0,2,BlackLock_2.jpg,BlackLock_1.jpg,BrownLock_3.jpg,BlackLock_1.jpg
14,ZBXLV,BROWN,WVCNZ,PLANE,LOCK,mismatch,1,0,PinkBag_3.jpg,BrownCup_2.jpg,RedKey_3.jpg,RedFork_1.jpg
15,QXSW,BLUE,MTPV,LAMP,LOCK,mismatch,3,0,BlueDisc_2.jpg,RedPlane_1.jpg,GreenHeart_3.jpg,RedShoe_2.jpg
16,ZBXLV,BROWN,RJDNW,CROSS,CANE,match,0,1,BlackCane_1.jpg,BrownCane_3.jpg,RedCane_2.jpg,BrownCross_2.jpg
17,RJDNW,BLACK,WVCNZ,HOUSE,CANE,match,0,2,GreenCane_3.jpg,BlackCane_2.jpg,RedCane_1.jpg,BlackCane_1.jpg
18,WVCNZ,GREEN,ZBXLV,PLANE,CANE,mismatch,2,0,RedCross_1.jpg,BlackCane_3.jpg,RedNote_3.jpg,BrownHeart_1.jpg
19,MTPV,PINK,QXSW,BOAT,CANE,mismatch,2,0,BlueBoat_3.jpg,RedCane_2.jpg,PinkLamp_2.jpg,BrownHouse_2.jpg
20,RJDNW,GREEN,ZBXLV,HOUSE,HAND,match,0,1,GreenHand_2.jpg,GreenHand_2.jpg,BlueHand_1.jpg,RedHouse_2.jpg
21,WVCNZ,BROWN,RJDNW,PLANE,HAND,match,0,2,BrownHand_1.jpg,BrownHand_2.jpg,BlueHand_2.jpg,RedHand_1.jpg
22,ZBXLV,BLACK,WVCNZ,CROSS,HAND,mismatch,3,0,PinkShoe_1.jpg,BrownCane_3.jpg,BlueCane_1.jpg,RedNote_3.jpg
23,MTPV,PINK,MTPV,LAMP,HAND,mismatch,3,0,BlueBag_3.jpg,RedShoe_3.jpg,BrownTree_2.jpg,BlackCup_3.jpg
24,MTPV,BLUE,MTPV,LAMP,KEY,match,0,1,BlueKey_2.jpg,BlueKey_1.jpg,BrownKey_2.jpg,BrownLamp_1.jpg
25,RJDNW,BROWN,WVCNZ,HOUSE,KEY,match,0,2,BlueKey_2.jpg,BrownKey_3.jpg,GreenKey_1.jpg,BlackKey_2.jpg
26,QXSW,PINK,QXSW,BOAT,KEY,mismatch,1,0,BrownBoat_2.jpg,PinkFlag_1.jpg,BlackFork_3.jpg,RedCane_3.jpg
27,WVCNZ,BLACK,ZBXLV,PLANE,KEY,mismatch,1,0,BlackTree_2.jpg,BlackLeaf_2.jpg,PinkShoe_3.jpg,BlueCane_3.jpg
28,RJDNW,BLACK,ZBXLV,HOUSE,SHOE,match,0,1,GreenShoe_2.jpg,BlackShoe_2.jpg,RedShoe_1.jpg,BrownHouse_3.jpg
29,MTPV,PINK,QXSW,LAMP,SHOE,match,0,2,PinkShoe_2.jpg,PinkShoe_1.jpg,PinkShoe_1.jpg,PinkShoe_3.jpg
30,QXSW,BLUE,MTPV,BOAT,SHOE,mismatch,2,0,GreenLeaf_1.jpg,BlackShoe_2.jpg,BlueBag_2.jpg,BrownLock_1.jpg
31,WVCNZ,GREEN,RJDNW,PLANE,SHOE,mismatch,1,0,BlueFork_2.jpg,GreenPlane_2.jpg,RedCup_3.jpg,PinkFork_3.jpg
32,MTPV,BLUE,MTPV,LAMP,BONE,match,0,1,BlueBone_3.jpg,BlueBone_3.jpg,BlueBone_1.jpg,BrownLamp_1.jpg
33,WVCNZ,GREEN,WVCNZ,PLANE,BONE,match,0,2,PinkBone_3.jpg,GreenBone_3.jpg,BlueBone_2.jpg,BrownBone_1.jpg
34,QXSW,PINK,QXSW,BOAT,BONE,mismatch,1,0,BlueHeart_3.jpg,PinkShoe_1.jpg,PinkSquare_2.jpg,BlueKey_1.jpg
35,ZBXLV,BROWN,ZBXLV,HOUSE,BONE,mismatch,3,0,GreenNote_1.jpg,GreenNote_3.jpg,BlueLeaf_3.jpg,GreenCar_2.jpg
36,QXSW,BLUE,QXSW,LAMP,SQUARE,match,0,1,BlackSquare_1.jpg,BlueSquare_3.jpg,PinkSquare_3.jpg,BlueLamp_3.jpg
37,XKQ,RED,XKQ,CUP,SQUARE,match,0,2,RedSquare_1.jpg,RedSquare_3.jpg,BlueSquare_2.jpg,PinkSquare_1.jpg
38,WVCNZ,BROWN,RJDNW,HOUSE,SQUARE,mismatch,2,0,RedDisc_1.jpg,RedSquare_1.jpg,BrownBow_2.jpg,PinkCane_1.jpg
39,RJDNW,BLACK,WVCNZ,PLANE,SQUARE,mismatch,2,0,BlueBell_2.jpg,RedSquare_1.jpg,BlackNote_2.jpg,BlueHeart_3.jpg
40,QXSW,PINK,MTPV,BOAT,BELL,match,0,1,BrownBell_3.jpg,PinkBell_1.jpg,GreenBell_3.jpg,BlueBoat_3.jpg
41,WVCNZ,GREEN,WVCNZ,CROSS,BELL,match,0,2,BrownBell_1.jpg,GreenBell_3.jpg,RedBell_1.jpg,BlueBell_3.jpg
42,XKQ,RED,XKQ,CUP,BELL,mismatch,3,0,RedKey_3.jpg,GreenTree_1.jpg,BlueCup_1.jpg,BlueBoat_2.jpg
43,ZBXLV,BLACK,ZBXLV,HOUSE,BELL,mismatch,2,0,GreenKey_3.jpg,BlueBell_3.jpg,GreenLeaf_3.jpg,BlackLock_1.jpg
44,RJDNW,BLACK,WVCNZ,HOUSE,BOAT,match,0,1,BlackBoat_1.jpg,BlackBoat_2.jpg,BrownBoat_2.jpg,PinkHouse_1.jpg
45,WVCNZ,BROWN,RJDNW,CROSS,BOAT,match,0,2,PinkBoat_3.jpg,BrownBoat_2.jpg,BrownBoat_3.jpg,PinkBoat_3.jpg
46,XKQ,RED,XKQ,CUP,BOAT,mismatch,2,0,PinkLeaf_1.jpg,PinkBoat_3.jpg,BlackCar_1.jpg,PinkHouse_1.jpg
47,ZBXLV,GREEN,ZBXLV,PLANE,BOAT,mismatch,3,0,BlueBone_1.jpg,GreenHouse_2.jpg,BlueLamp_3.jpg,RedSquare_2.jpg
48,RJDNW,GREEN,RJDNW,CROSS,BOW,match,0,1,RedBow_3.jpg,GreenBow_3.jpg,RedBow_3.jpg,BrownCross_2.jpg
49,QXSW,BLUE,QXSW,BOAT,BOW,match,0,2,BlueBow_1.jpg,BlueBow_2.jpg,PinkBow_1.jpg,PinkBow_2.jpg
50,WVCNZ,BROWN,ZBXLV,HOUSE,BOW,mismatch,2,0,BrownHeart_3.jpg,BrownBow_2.jpg,BlueBag_2.jpg,BlackFork_3.jpg
51,ZBXLV,BLACK,WVCNZ,PLANE,BOW,mismatch,3,0,BlueBoat_3.jpg,BrownSquare_1.jpg,PinkBell_3.jpg,BlueBone_1.jpg
52,XKQ,RED,XKQ,CUP,CAR,match,0,1,RedCar_2.jpg,RedCar_2.jpg,BrownCar_2.jpg,PinkCup_1.jpg
53,QXSW,BLUE,MTPV,LAMP,CAR,match,0,2,RedCar_3.jpg,BlueCar_1.jpg,GreenCar_1.jpg,BlueCar_2.jpg
54,WVCNZ,BROWN,WVCNZ,HOUSE,CAR,mismatch,3,0,PinkFork_1.jpg,BlackHeart_2.jpg,BlueCup_2.jpg,BrownHeart_3.jpg
55,ZBXLV,BLACK,ZBXLV,PLANE,CAR,mismatch,3,0,BrownCup_2.jpg,RedKey_1.jpg,BlackLock_3.jpg,GreenBell_2.jpg
56,MTPV,PINK,QXSW,BOAT,CROSS,match,0,1,BlueCross_3.jpg,PinkCross_3.jpg,GreenCross_1.jpg,BlackBoat_1.jpg
